time [s],Current, Voltage, Wire-feed
1669806976.0,0,0,1
1669806976.1,0,0,1
1669806976.1999998,1006,45,1
1669806976.2999997,1006,45,1
1669806976.3999996,1006,45,1
1669806976.4999995,1006,45,1
1669806976.5999994,1006,45,1
1669806976.6999993,1006,45,1
1669806976.7999992,1006,45,1
1669806976.8999991,1006,45,1
1669806976.999999,1006,45,1
1669806977.099999,1006,45,1
1669806977.1999989,1006,45,1
1669806977.2999988,1006,45,1
1669806977.3999987,1006,45,1
1669806977.4999986,1006,45,1
1669806977.5999985,1006,45,1
1669806977.6999984,1006,45,1
1669806977.7999983,1006,45,1
1669806977.8999982,1006,45,1
1669806977.999998,1006,45,1
1669806978.099998,1006,45,1
1669806978.199998,1006,45,1
1669806978.2999978,1072,64,1
1669806978.3999977,924,171,1
1669806978.4999976,20,155,1
1669806978.5999975,150,133,1
1669806978.6999974,156,143,1
1669806978.7999973,265,139,1
1669806978.8999972,846,152,1
1669806978.9999971,297,165,1
1669806979.099997,974,142,1
1669806979.199997,1299,149,1
1669806979.2999969,917,160,1
1669806979.3999968,555,162,1
1669806979.4999967,910,139,1
1669806979.5999966,1405,139,1
1669806979.6999965,1153,152,1
1669806979.7999964,849,153,1
1669806979.8999963,701,152,1
1669806979.9999962,687,150,1
1669806980.099996,798,153,1
1669806980.199996,785,153,1
1669806980.299996,379,159,1
1669806980.3999958,201,158,1
1669806980.4999957,156,153,1
1669806980.5999956,245,136,1
1669806980.6999955,1221,148,1
1669806980.7999954,915,163,1
1669806980.8999953,7,146,1
1669806980.9999952,95,139,1
1669806981.0999951,272,139,1
1669806981.199995,366,156,1
1669806981.299995,117,140,1
1669806981.3999949,434,132,1
1669806981.4999948,661,156,1
1669806981.5999947,407,134,1
1669806981.6999946,1131,135,1
1669806981.7999945,903,150,1
1669806981.8999944,269,146,1
1669806981.9999943,328,144,1
1669806982.0999942,560,141,1
1669806982.199994,471,145,1
1669806982.299994,498,144,1
1669806982.399994,494,145,1
1669806982.4999938,316,140,1
1669806982.5999937,460,142,1
1669806982.6999936,615,142,1
1669806982.7999935,716,141,1
1669806982.8999934,355,152,1
1669806982.9999933,103,143,1
1669806983.0999932,465,141,1
1669806983.1999931,298,154,1
1669806983.299993,344,136,1
1669806983.399993,985,129,1
1669806983.4999928,170,160,1
1669806983.5999928,28,144,1
1669806983.6999927,764,136,1
1669806983.7999926,730,146,1
1669806983.8999925,85,142,1
1669806983.9999924,441,134,1
1669806984.0999923,1019,140,1
1669806984.1999922,1005,147,1
1669806984.299992,722,140,1
1669806984.399992,1156,143,1
1669806984.499992,390,141,1
1669806984.5999918,999,151,1
1669806984.6999917,420,145,1
1669806984.7999916,826,140,1
