time [s],Current, Voltage, Wire-feed, Gas-flow,
1671020976721.499,0,0,0,0,
1671020976725.6287,0,0,0,0,
1671020976729.7583,0,0,0,0,
1671020976733.8882,0,0,0,0,
1671020976738.0178,0,0,0,0,
1671020976742.1475,0,0,0,0,
1671020976746.277,0,0,0,0,
1671020976750.407,0,0,0,0,
1671020976754.5366,0,0,0,0,
1671020976758.6663,0,0,0,0,
1671020976762.796,0,0,0,0,
1671020976766.9255,0,0,0,0,
1671020976771.0554,0,0,0,0,
1671020976775.185,0,0,0,0,
1671020976779.3147,0,0,0,0,
1671020976783.4443,0,0,0,0,
1671020976787.5742,0,0,0,0,
1671020976791.7039,0,0,0,0,
1671020976795.8335,0,0,0,0,
1671020976799.9631,0,0,0,0,
1671020976804.0928,0,0,0,0,
1671020976808.2227,0,0,0,0,
1671020976812.3523,0,0,0,0,
1671020976816.482,0,0,0,0,
1671020976820.6116,0,0,0,0,
1671020976824.7415,0,0,0,0,
1671020976828.871,0,0,0,0,
1671020976833.0007,0,0,0,0,
1671020976837.1304,0,0,0,0,
1671020976841.26,0,0,0,0,
1671020976845.39,0,0,0,0,
1671020976849.5195,0,0,0,0,
1671020976853.6492,0,0,0,0,
1671020976857.7788,0,0,0,0,
1671020976861.9087,0,0,0,0,
1671020976866.0383,0,0,0,0,
1671020976870.168,0,0,0,0,
1671020976874.2976,0,0,0,0,
1671020976878.4275,0,0,0,0,
1671020976882.5571,0,0,0,0,
1671020976886.6868,0,0,0,0,
1671020976890.8164,0,0,0,0,
1671020976894.946,0,0,0,0,
1671020976899.076,0,0,0,0,
1671020976903.2056,0,0,0,0,
1671020976907.3352,0,0,0,0,
1671020976911.4648,0,0,0,0,
1671020976915.5947,0,0,0,0,
1671020976919.7244,0,0,0,0,
1671020976923.854,0,0,0,0,
1671020976927.9836,0,0,0,0,
1671020976932.1133,0,0,0,149,
1671020976936.2432,0,0,0,149,
1671020976940.3728,0,0,0,149,
1671020976944.5024,0,0,0,149,
1671020976948.632,0,0,0,149,
1671020976952.762,0,0,0,149,
1671020976956.8916,0,0,0,149,
1671020976961.0212,0,0,0,149,
1671020976965.151,0,0,0,149,
1671020976969.2805,0,0,0,149,
1671020976973.4104,0,0,0,149,
1671020976977.54,0,0,0,149,
1671020976981.6697,0,0,0,149,
1671020976985.7993,0,0,0,149,
1671020976989.9292,0,0,0,149,
1671020976994.0588,0,0,0,149,
1671020976998.1885,0,0,0,149,
1671020977002.318,0,0,0,149,
1671020977006.4478,0,0,0,149,
1671020977010.5776,0,0,0,149,
1671020977014.7073,0,0,0,149,
1671020977018.837,863,0,0,149,
1671020977022.9666,863,0,0,149,
1671020977027.0964,914,135,0,149,
1671020977031.226,914,135,0,149,
1671020977035.3557,914,135,0,149,
1671020977039.4854,1058,131,0,149,
1671020977043.615,1058,131,0,149,
1671020977047.7449,1288,147,0,149,
1671020977051.8745,1288,147,0,149,
1671020977056.0042,1491,176,0,149,
1671020977060.1338,1491,176,0,149,
1671020977064.2637,1515,176,0,149,
1671020977068.3933,1515,176,0,149,
1671020977072.523,1515,176,0,149,
1671020977076.6526,1515,176,0,149,
1671020977080.7822,1294,216,0,149,
1671020977084.912,1294,216,0,149,
1671020977089.0417,556,192,0,149,
1671020977093.1714,451,167,0,149,
1671020977097.301,451,167,0,149,
1671020977101.431,451,167,0,149,
1671020977105.5605,451,167,0,149,
1671020977109.6902,451,167,0,149,
1671020977113.8198,451,167,0,149,
1671020977117.9495,695,167,0,149,
1671020977122.0793,695,167,0,149,
1671020977126.209,1187,138,35,92,
1671020977130.3386,1187,138,35,92,
1671020977134.4683,1686,146,35,92,
1671020977138.5981,1686,146,35,92,
1671020977142.7278,1686,146,35,92,
1671020977146.8574,1686,146,35,92,
1671020977150.987,1990,163,35,92,
1671020977155.1167,2098,177,35,92,
1671020977159.2466,2098,177,35,92,
1671020977163.3762,2654,172,35,92,
1671020977167.5059,2654,172,35,92,
1671020977171.6355,2654,172,35,92,
1671020977175.7654,2654,172,35,92,
