time [s],Current, Voltage, Wire-feed, Gas-flow,
1671025463227.993,0,0,0,0,
1671025463232.029,0,0,0,0,
1671025463236.0654,0,0,0,0,
1671025463240.1016,0,0,0,0,
1671025463244.1377,0,0,0,0,
1671025463248.1738,0,0,0,0,
1671025463252.2102,0,0,0,0,
1671025463256.2463,0,0,0,0,
1671025463260.2825,0,0,0,0,
1671025463264.3188,0,0,0,0,
1671025463268.355,0,0,0,0,
1671025463272.391,0,0,0,0,
1671025463276.4272,0,0,0,0,
1671025463280.4636,0,0,0,0,
1671025463284.4998,0,0,0,0,
1671025463288.536,0,0,0,0,
1671025463292.5723,0,0,0,0,
1671025463296.6084,0,0,0,0,
1671025463300.6445,0,0,0,0,
1671025463304.6807,0,0,0,0,
1671025463308.717,0,0,0,0,
1671025463312.7532,0,0,0,0,
1671025463316.7893,0,0,0,0,
1671025463320.8254,0,0,0,0,
1671025463324.8618,0,0,0,0,
1671025463328.898,0,0,0,0,
1671025463332.934,0,0,0,0,
1671025463336.9705,0,0,0,0,
1671025463341.0066,0,0,0,0,
1671025463345.0427,0,0,0,0,
1671025463349.0789,0,0,0,0,
1671025463353.1152,0,0,0,0,
1671025463357.1514,0,0,0,0,
1671025463361.1875,0,0,0,0,
1671025463365.2239,0,0,0,0,
1671025463369.26,0,0,0,0,
1671025463373.2961,0,0,0,0,
1671025463377.3323,0,0,0,0,
1671025463381.3687,0,0,0,0,
1671025463385.4048,0,0,0,0,
1671025463389.441,0,0,0,0,
1671025463393.4773,0,0,0,0,
1671025463397.5134,0,0,0,0,
1671025463401.5496,0,0,0,0,
1671025463405.5857,0,0,0,0,
1671025463409.622,0,0,0,0,
1671025463413.6582,0,0,0,0,
1671025463417.6943,0,0,0,0,
1671025463421.7307,0,0,0,0,
1671025463425.7668,0,0,0,0,
1671025463429.803,0,0,0,0,
1671025463433.839,0,0,0,0,
1671025463437.8755,0,0,0,0,
1671025463441.9116,0,0,0,0,
1671025463445.9478,0,0,0,0,
1671025463449.9841,0,0,0,0,
1671025463454.0203,0,0,0,0,
1671025463458.0564,0,0,0,0,
1671025463462.0925,0,0,0,0,
1671025463466.129,0,0,0,0,
1671025463470.165,0,0,0,0,
1671025463474.2012,0,0,0,0,
1671025463478.2373,0,0,0,0,
1671025463482.2737,0,0,0,0,
1671025463486.3098,0,0,0,0,
1671025463490.346,0,0,0,0,
1671025463494.3823,0,0,0,0,
1671025463498.4185,0,0,0,0,
1671025463502.4546,0,0,0,0,
1671025463506.4907,0,0,0,0,
1671025463510.527,0,0,0,0,
1671025463514.5632,0,0,0,0,
1671025463518.5994,0,0,0,141,
1671025463522.6357,0,0,0,141,
1671025463526.6719,0,0,0,141,
1671025463530.708,0,0,0,141,
1671025463534.7441,0,0,0,141,
1671025463538.7805,0,0,0,141,
1671025463542.8167,835,180,0,141,
1671025463546.8528,835,180,0,141,
1671025463550.8892,769,233,0,141,
1671025463554.9253,769,233,0,141,
1671025463558.9614,625,233,0,141,
1671025463562.9976,625,233,0,141,
1671025463567.034,175,517,0,141,
1671025463571.07,175,517,0,141,
1671025463575.1062,175,517,0,141,
1671025463579.1426,175,517,0,141,
1671025463583.1787,175,703,0,141,
1671025463587.2148,175,703,0,141,
1671025463591.251,0,852,0,141,
1671025463595.2874,0,852,0,141,
1671025463599.3235,0,930,0,141,
1671025463603.3596,0,930,0,141,
1671025463607.396,0,896,0,141,
1671025463611.4321,0,896,0,141,
1671025463615.4683,0,896,0,141,
1671025463619.5044,0,896,0,141,
1671025463623.5408,0,896,0,141,
1671025463627.577,0,896,0,141,
1671025463631.613,0,846,0,141,
1671025463635.6492,0,846,0,141,
1671025463639.6855,35,846,0,141,
1671025463643.7217,35,846,0,141,
1671025463647.7578,35,846,0,141,
1671025463651.7942,35,846,0,141,
1671025463655.8303,35,819,0,141,
1671025463659.8665,35,819,0,141,
1671025463663.9026,35,819,0,141,
1671025463667.939,35,819,0,141,
1671025463671.975,6,839,0,141,
1671025463676.0112,6,839,0,141,
1671025463680.0476,6,854,0,141,
1671025463684.0837,6,854,0,141,
1671025463688.1199,6,854,0,141,
1671025463692.156,6,854,0,141,
1671025463696.1924,6,853,0,141,
1671025463700.2285,6,853,0,141,
1671025463704.2646,6,853,0,141,
1671025463708.301,6,853,0,141,
1671025463712.3372,6,845,0,141,
1671025463716.3733,6,845,0,141,
1671025463720.4094,6,839,9,83,
1671025463724.4458,6,839,9,83,
1671025463728.482,6,839,9,83,
1671025463732.518,6,839,9,83,
1671025463736.5544,6,838,9,83,
1671025463740.5906,6,838,9,83,
1671025463744.6267,6,838,9,83,
1671025463748.6628,6,838,9,83,
1671025463752.6992,6,840,9,83,
1671025463756.7354,6,840,9,83,
1671025463760.7715,6,843,9,83,
1671025463764.8079,6,843,9,83,
1671025463768.844,6,843,9,83,
1671025463772.8801,6,843,9,83,
1671025463776.9163,6,843,9,83,
1671025463780.9526,6,843,9,83,
1671025463784.9888,6,843,9,83,
1671025463789.025,6,843,9,83,
1671025463793.061,6,842,9,83,
1671025463797.0974,6,842,9,83,
1671025463801.1335,6,842,9,83,
1671025463805.1697,6,842,9,83,
1671025463809.206,6,841,9,83,
1671025463813.2422,6,841,9,83,
1671025463817.2783,6,841,9,83,
1671025463821.3145,6,841,9,83,
1671025463825.3508,6,842,9,83,
1671025463829.387,6,842,9,83,
1671025463833.423,6,843,9,83,
1671025463837.4595,6,843,9,83,
1671025463841.4956,6,843,9,83,
1671025463845.5317,6,843,9,83,
1671025463849.5679,6,842,9,83,
1671025463853.6042,6,842,9,83,
1671025463857.6404,6,842,9,83,
1671025463861.6765,6,842,9,83,
1671025463865.713,6,841,9,83,
1671025463869.749,6,841,9,83,
1671025463873.7852,6,841,9,83,
1671025463877.8213,6,841,9,83,
1671025463881.8577,6,841,9,83,
1671025463885.8938,6,841,9,83,
1671025463889.93,6,843,9,83,
1671025463893.9663,6,843,9,83,
1671025463898.0024,6,843,9,83,
1671025463902.0386,6,843,9,83,
1671025463906.0747,6,843,9,83,
1671025463910.111,6,843,9,83,
1671025463914.1472,6,842,9,83,
1671025463918.1833,6,842,9,83,
1671025463922.2197,6,842,9,83,
1671025463926.2559,6,842,9,83,
1671025463930.292,6,841,10,79,
1671025463934.3281,6,841,10,79,
1671025463938.3645,6,841,10,79,
1671025463942.4006,6,841,10,79,
1671025463946.4368,6,841,10,79,
1671025463950.473,6,841,10,79,
1671025463954.5093,6,842,10,79,
1671025463958.5454,6,842,10,79,
1671025463962.5815,6,842,10,79,
1671025463966.618,6,842,10,79,
1671025463970.654,61,833,10,79,
1671025463974.6902,61,833,10,79,
1671025463978.7263,232,796,10,79,
1671025463982.7627,232,796,10,79,
1671025463986.7988,232,796,10,79,
1671025463990.835,232,796,10,79,
1671025463994.8713,232,796,10,79,
1671025463998.9075,232,796,10,79,
1671025464002.9436,928,567,10,79,
1671025464006.9797,928,567,10,79,
1671025464011.016,928,567,10,79,
1671025464015.0522,928,567,10,79,
1671025464019.0884,1251,237,10,79,
1671025464023.1248,1251,237,10,79,
1671025464027.161,1251,237,10,79,
1671025464031.197,1251,237,10,79,
1671025464035.2332,1251,237,10,79,
1671025464039.2695,1251,237,10,79,
1671025464043.3057,950,86,10,79,
1671025464047.3418,950,86,10,79,
1671025464051.3782,950,86,10,79,
1671025464055.4143,950,86,10,79,
1671025464059.4504,966,93,10,79,
1671025464063.4866,966,93,10,79,
1671025464067.523,966,93,10,79,
1671025464071.559,966,93,10,79,
1671025464075.5952,966,93,10,79,
1671025464079.6316,966,93,10,79,
1671025464083.6677,2005,189,10,79,
1671025464087.7039,2005,189,10,79,
1671025464091.74,2005,189,10,79,
1671025464095.7764,2005,189,10,79,
1671025464099.8125,2169,195,10,79,
1671025464103.8486,2169,195,10,79,
1671025464107.8848,2169,195,10,79,
