time [s],Current, Voltage, Wire-feed, Gas-flow,
1671017072625.102,1,0,0,0,
1671017072629.4563,1,0,0,0,
1671017072633.8103,1,0,0,0,
1671017072638.1646,1,0,0,0,
1671017072642.5186,1,0,0,0,
1671017072646.8728,1,0,0,0,
1671017072651.227,1,0,0,0,
1671017072655.581,1,0,0,0,
1671017072659.9353,1,0,0,0,
1671017072664.2893,1,0,0,0,
1671017072668.6436,1,0,0,0,
1671017072672.9976,1,0,0,0,
1671017072677.3518,1,0,0,0,
1671017072681.706,1,0,0,0,
1671017072686.06,1,0,0,0,
1671017072690.4143,1,0,0,0,
1671017072694.7683,1,0,0,0,
1671017072699.1226,1,0,0,0,
1671017072703.4768,1,0,0,0,
1671017072707.8308,1,0,0,0,
1671017072712.185,1,0,0,0,
1671017072716.539,1,0,0,0,
1671017072720.8933,1,0,0,0,
1671017072725.2476,1,0,0,0,
1671017072729.6016,1,0,0,0,
1671017072733.9558,1,0,0,0,
1671017072738.3098,1,0,0,0,
1671017072742.664,1,0,0,0,
1671017072747.018,1,0,0,0,
1671017072751.3723,1,0,0,0,
1671017072755.7266,1,0,0,0,
1671017072760.0806,1,0,0,0,
1671017072764.4348,1,0,0,0,
1671017072768.7888,1,0,0,0,
1671017072773.143,1,0,0,0,
1671017072777.4973,1,0,0,0,
1671017072781.8513,1,0,0,0,
1671017072786.2056,1,0,0,0,
1671017072790.5596,1,0,0,0,
1671017072794.9138,1,0,0,0,
1671017072799.268,1,0,0,0,
1671017072803.622,1,0,0,0,
1671017072807.9763,1,0,0,0,
1671017072812.3303,1,0,0,0,
1671017072816.6846,1,0,0,0,
1671017072821.0386,1,0,0,0,
1671017072825.3928,1,0,0,0,
1671017072829.747,1,0,0,0,
1671017072834.101,1,0,0,0,
1671017072838.4553,1,0,0,0,
1671017072842.8093,1,0,0,0,
1671017072847.1636,1,0,0,0,
1671017072851.5178,1,0,0,0,
1671017072855.8718,1,0,0,0,
1671017072860.226,1,0,0,0,
1671017072864.58,1,0,0,0,
1671017072868.9343,1,0,0,0,
1671017072873.2886,1,0,0,0,
1671017072877.6426,853,165,0,0,
1671017072881.9968,853,165,0,0,
1671017072886.3508,853,165,0,0,
1671017072890.705,853,165,0,0,
1671017072895.0593,835,180,0,0,
1671017072899.4133,835,180,0,0,
1671017072903.7676,625,344,0,0,
1671017072908.1216,625,344,0,0,
1671017072912.4758,410,344,0,0,
1671017072916.8298,410,344,0,0,
1671017072921.184,410,511,0,0,
1671017072925.5383,410,511,0,0,
1671017072929.8923,410,511,0,0,
1671017072934.2466,410,511,0,0,
1671017072938.6006,175,694,0,0,
1671017072942.9548,175,694,0,0,
1671017072947.309,0,918,9,95,
1671017072951.663,0,918,9,95,
1671017072956.0173,0,924,9,95,
1671017072960.3713,0,924,9,95,
1671017072964.7256,0,924,9,95,
1671017072969.0798,0,924,9,95,
1671017072973.4338,0,924,9,95,
1671017072977.788,0,885,9,95,
1671017072982.142,0,885,9,95,
1671017072986.4963,35,803,9,95,
1671017072990.8503,35,803,9,95,
1671017072995.2046,35,795,9,95,
1671017072999.5588,35,795,9,95,
1671017073003.9128,35,795,9,95,
1671017073008.267,35,795,9,95,
1671017073012.621,35,795,9,95,
1671017073016.9753,6,824,9,95,
1671017073021.3296,6,824,9,95,
1671017073025.6836,6,838,9,95,
1671017073030.0378,6,838,9,95,
1671017073034.3918,6,843,9,95,
1671017073038.746,6,843,9,95,
1671017073043.1003,6,843,9,95,
1671017073047.4543,6,843,9,95,
1671017073051.8086,6,843,9,95,
1671017073056.1626,6,834,9,95,
1671017073060.5168,6,834,9,95,
1671017073064.8708,6,829,9,95,
1671017073069.225,6,829,9,95,
1671017073073.5793,6,827,9,95,
1671017073077.9333,6,827,9,95,
1671017073082.2876,6,827,9,95,
1671017073086.6416,6,827,9,95,
1671017073090.9958,6,827,9,95,
1671017073095.35,6,827,9,95,
1671017073099.704,6,831,9,95,
1671017073104.0583,6,831,9,95,
1671017073108.4124,6,834,9,95,
1671017073112.7666,6,834,9,95,
1671017073117.1208,6,835,9,95,
1671017073121.4749,6,835,9,95,
1671017073125.829,6,835,9,95,
1671017073130.183,6,835,9,95,
1671017073134.5374,6,835,9,95,
1671017073138.8914,157,829,9,95,
1671017073143.2456,157,829,9,95,
1671017073147.5999,157,804,9,81,
1671017073151.9539,157,804,9,81,
1671017073156.308,157,804,9,81,
1671017073160.662,157,804,9,81,
1671017073165.0164,157,804,10,81,
1671017073169.3706,405,740,10,81,
1671017073173.7246,405,740,10,81,
1671017073178.0789,736,623,10,81,
1671017073182.4329,736,623,10,81,
1671017073186.787,736,623,10,81,
1671017073191.1414,736,623,10,81,
1671017073195.4954,736,623,10,81,
1671017073199.8496,1130,165,10,81,
1671017073204.2036,1130,165,10,81,
1671017073208.5579,1183,91,10,81,
1671017073212.9119,1183,91,10,81,
1671017073217.266,1365,78,10,81,
1671017073221.6204,1365,78,10,81,
1671017073225.9744,1365,78,10,81,
1671017073230.3286,1365,78,10,81,
1671017073234.6826,1365,78,10,81,
1671017073239.0369,1365,78,10,81,
1671017073243.391,1365,78,10,81,
1671017073247.745,1753,186,10,81,
1671017073252.0994,1753,186,10,81,
1671017073256.4534,1753,198,10,81,
1671017073260.8076,1753,198,10,81,
1671017073265.1619,1987,198,10,81,
1671017073269.5159,1987,198,10,81,
1671017073273.87,1987,198,10,81,
1671017073278.224,1987,198,10,81,
1671017073282.5784,1987,188,10,81,
1671017073286.9326,1987,188,10,81,
1671017073291.2866,3492,187,10,81,
1671017073295.6409,3492,187,10,81,
1671017073299.9949,4056,259,10,81,
1671017073304.349,4056,259,10,81,
1671017073308.7031,3850,259,10,81,
1671017073313.0574,3850,259,10,81,
1671017073317.4116,3850,259,10,81,
1671017073321.7656,3850,400,10,81,
1671017073326.1199,3850,400,10,81,
1671017073330.4739,2810,584,10,81,
1671017073334.8281,0,880,10,81,
1671017073339.1824,0,880,10,81,
1671017073343.5364,0,880,10,81,
1671017073347.8906,0,880,10,81,
1671017073352.2446,0,925,98,119,
1671017073356.5989,0,925,98,119,
1671017073360.9531,0,925,98,119,
1671017073365.3071,0,925,98,119,
1671017073369.6614,0,861,98,119,
1671017073374.0154,0,861,98,119,
1671017073378.3696,0,861,98,119,
1671017073382.7236,0,861,98,119,
1671017073387.078,0,861,98,119,
1671017073391.4321,0,861,98,119,
1671017073395.7861,0,861,98,119,
1671017073400.1404,575,743,98,119,
1671017073404.4944,575,743,98,119,
1671017073408.8486,888,675,98,119,
1671017073413.203,888,675,98,119,
1671017073417.557,1408,568,98,119,
1671017073421.9111,1408,568,98,119,
1671017073426.2651,1408,568,98,119,
1671017073430.6194,1408,568,98,119,
1671017073434.9736,2176,568,98,119,
1671017073439.3276,2176,568,98,119,
1671017073443.682,3091,332,98,119,
1671017073448.036,3973,266,98,119,
1671017073452.3901,3973,266,98,119,
1671017073456.7441,4633,251,98,119,
1671017073461.0984,4633,251,98,119,
1671017073465.4526,4633,251,98,119,
1671017073469.8066,4633,251,98,119,
1671017073474.161,4920,276,98,119,
1671017073478.515,4920,276,98,119,
1671017073482.8691,4769,321,98,119,
1671017073487.2234,4769,321,98,119,
1671017073491.5774,4250,366,98,119,
1671017073495.9316,3567,397,98,119,
1671017073500.2856,3567,397,98,119,
1671017073504.64,3567,397,98,119,
1671017073508.9941,3567,397,98,119,
1671017073513.3481,2972,397,98,119,
1671017073517.7024,2972,397,98,119,
1671017073522.0564,2644,405,98,119,
1671017073526.4106,2625,392,98,119,
1671017073530.7646,2625,392,98,119,
1671017073535.119,2625,392,98,119,
1671017073539.4731,2838,378,98,119,
1671017073543.8271,2838,378,98,119,
1671017073548.1814,3145,368,141,163,
1671017073552.5354,3145,368,141,163,
1671017073556.8896,3408,364,141,163,
1671017073561.244,3408,364,141,163,
1671017073565.598,3539,365,141,163,
1671017073569.9521,3539,365,141,163,
1671017073574.3062,3539,365,141,163,
1671017073578.6604,3539,365,141,163,
1671017073583.0146,3529,369,141,163,
1671017073587.3687,3529,369,141,163,
1671017073591.723,3436,373,141,163,
1671017073596.077,3436,373,141,163,
1671017073600.4312,3339,375,141,163,
1671017073604.7852,3289,375,141,163,
1671017073609.1394,3289,375,141,163,
1671017073613.4937,3289,375,141,163,
1671017073617.8477,3289,374,141,163,
1671017073622.202,3289,374,141,163,
1671017073626.556,3302,373,141,163,
1671017073630.9102,3302,373,141,163,
1671017073635.2644,3302,373,141,163,
1671017073639.6184,3302,373,141,163,
1671017073643.9727,3255,374,141,163,
1671017073648.3267,3255,374,141,163,
1671017073652.681,3255,374,141,163,
1671017073657.0352,3255,374,141,163,
1671017073661.3892,3255,374,141,163,
1671017073665.7434,3198,376,141,163,
1671017073670.0974,3151,378,141,163,
1671017073674.4517,3151,378,141,163,
1671017073678.806,3134,379,141,163,
1671017073683.16,3134,379,141,163,
1671017073687.5142,3134,379,141,163,
1671017073691.8682,3134,379,141,163,
1671017073696.2224,3155,378,141,163,
1671017073700.5764,3155,378,141,163,
1671017073704.9307,3208,375,141,163,
1671017073709.285,3208,375,141,163,
1671017073713.639,3271,371,141,163,
1671017073717.9932,3271,371,141,163,
1671017073722.3472,3271,371,141,163,
1671017073726.7014,3271,371,141,163,
1671017073731.0557,3320,367,141,163,
1671017073735.4097,3320,367,141,163,
1671017073739.764,3349,363,141,163,
1671017073744.118,3349,363,141,163,
1671017073748.4722,3365,359,142,160,
1671017073752.8264,3365,359,142,160,
1671017073757.1804,3365,356,142,160,
1671017073761.5347,3365,356,142,160,
1671017073765.8887,3365,356,142,160,
1671017073770.243,3365,356,142,160,
1671017073774.597,3350,356,142,160,
1671017073778.9512,3350,356,142,160,
1671017073783.3054,3310,359,142,160,
1671017073787.6594,3310,359,142,160,
1671017073792.0137,3262,364,142,160,
1671017073796.3677,3226,369,142,160,
1671017073800.722,3226,369,142,160,
1671017073805.0762,3226,369,142,160,
1671017073809.4302,3226,369,142,160,
1671017073813.7844,3212,372,142,160,
1671017073818.1384,3212,372,142,160,
1671017073822.4927,3212,370,142,160,
1671017073826.847,3212,370,142,160,
1671017073831.201,3212,370,142,160,
1671017073835.5552,3212,370,142,160,
1671017073839.9092,3212,367,142,160,
1671017073844.2634,3212,367,142,160,
1671017073848.6174,3212,367,142,160,
1671017073852.9717,3185,364,142,160,
1671017073857.326,3185,364,142,160,
1671017073861.68,3165,361,142,160,
1671017073866.0342,3165,361,142,160,
1671017073870.3882,3165,361,142,160,
1671017073874.7424,3165,361,142,160,
1671017073879.0967,3165,361,142,160,
1671017073883.4507,3165,361,142,160,
1671017073887.805,3165,361,142,160,
1671017073892.159,3165,361,142,160,
1671017073896.5132,3165,361,142,160,
1671017073900.8674,3165,361,142,160,
1671017073905.2214,3179,363,142,160,
1671017073909.5757,3179,363,142,160,
1671017073913.9297,3179,363,142,160,
1671017073918.284,3179,363,142,160,
1671017073922.638,3179,363,142,160,
1671017073926.9922,3162,362,142,160,
1671017073931.3464,3162,362,142,160,
1671017073935.7004,3162,362,142,160,
1671017073940.0547,3162,362,142,160,
1671017073944.4087,3184,358,139,162,
1671017073948.763,3184,358,139,162,
1671017073953.1172,3184,357,139,162,
1671017073957.4712,3184,357,139,162,
1671017073961.8254,3184,357,139,162,
1671017073966.1794,3184,357,139,162,
1671017073970.5337,3197,357,139,162,
1671017073974.888,3197,357,139,162,
1671017073979.242,3197,357,139,162,
1671017073983.5962,3197,357,139,162,
1671017073987.9502,3197,357,139,162,
1671017073992.3044,3197,357,139,162,
1671017073996.6584,3155,354,139,162,
1671017074001.0127,3155,354,139,162,
1671017074005.367,3155,354,139,162,
1671017074009.721,3155,354,139,162,
1671017074014.0752,3128,352,139,162,
1671017074018.4292,3128,352,139,162,
1671017074022.7834,3077,351,139,162,
1671017074027.1377,3077,351,139,162,
1671017074031.4917,3077,351,139,162,
1671017074035.846,3077,351,139,162,
1671017074040.2,3077,351,139,162,
1671017074044.5542,3077,351,139,162,
1671017074048.9084,3077,351,139,162,
1671017074053.2625,3077,351,139,162,
1671017074057.6167,3023,350,139,162,
1671017074061.9707,3023,350,139,162,
1671017074066.325,3018,340,139,162,
1671017074070.6792,3018,340,139,162,
1671017074075.0332,3059,330,139,162,
1671017074079.3875,3059,330,139,162,
1671017074083.7415,3059,330,139,162,
1671017074088.0957,3059,330,139,162,
1671017074092.4497,3059,330,139,162,
1671017074096.804,3059,330,139,162,
1671017074101.1582,3059,330,139,162,
1671017074105.5122,3059,330,139,162,
1671017074109.8665,3093,327,139,162,
1671017074114.2205,3093,327,139,162,
1671017074118.5747,3009,336,139,162,
1671017074122.929,3009,336,139,162,
1671017074127.283,3009,336,139,162,
1671017074131.6372,3009,336,139,162,
1671017074135.9912,3009,336,139,162,
1671017074140.3455,2912,344,139,162,
1671017074144.6997,2912,344,139,162,
1671017074149.0537,2806,348,139,162,
1671017074153.408,2806,348,139,162,
1671017074157.762,2835,346,128,159,
1671017074162.1162,2835,346,128,159,
1671017074166.4702,2835,346,128,159,
1671017074170.8245,2835,346,128,159,
1671017074175.1787,2835,338,128,159,
1671017074179.5327,2835,338,128,159,
1671017074183.887,2912,327,128,159,
1671017074188.241,2912,327,128,159,
1671017074192.5952,2912,327,128,159,
1671017074196.9495,2912,327,128,159,
1671017074201.3035,2912,327,128,159,
1671017074205.6577,2912,327,128,159,
1671017074210.0117,2983,321,128,159,
1671017074214.366,2983,321,128,159,
1671017074218.7202,3042,315,128,159,
1671017074223.0742,3042,315,128,159,
1671017074227.4285,3042,315,128,159,
1671017074231.7825,3042,315,128,159,
1671017074236.1367,3042,315,128,159,
1671017074240.4907,3042,315,128,159,
1671017074244.845,3042,315,128,159,
1671017074249.1992,3042,315,128,159,
1671017074253.5532,3593,274,128,159,
1671017074257.9075,3593,274,128,159,
1671017074262.2615,3483,285,128,159,
1671017074266.6157,3483,285,128,159,
1671017074270.97,3483,285,128,159,
1671017074275.324,3483,285,128,159,
1671017074279.6782,3182,307,128,159,
1671017074284.0322,3182,307,128,159,
1671017074288.3865,3182,307,128,159,
1671017074292.7407,3182,307,128,159,
1671017074297.0947,2533,343,128,159,
1671017074301.449,2533,343,128,159,
1671017074305.803,2397,346,128,159,
1671017074310.1572,2397,346,128,159,
1671017074314.5112,2397,346,128,159,
1671017074318.8655,2408,341,128,159,
1671017074323.2197,2408,341,128,159,
1671017074327.5737,2408,341,128,159,
1671017074331.928,2408,341,128,159,
1671017074336.282,2504,333,128,159,
1671017074340.6362,2683,322,128,159,
1671017074344.9905,2683,322,128,159,
1671017074349.3445,2683,322,128,159,
1671017074353.6987,2683,322,128,159,
1671017074358.0527,2710,322,114,147,
1671017074362.407,2710,322,114,147,
1671017074366.7612,2710,322,114,147,
1671017074371.1152,2710,322,114,147,
1671017074375.4695,2697,323,114,147,
1671017074379.8235,2697,323,114,147,
1671017074384.1777,2697,323,114,147,
1671017074388.5317,2697,323,114,147,
1671017074392.886,2697,323,114,147,
1671017074397.2402,2697,323,114,147,
1671017074401.5942,2697,323,114,147,
1671017074405.9485,2697,323,114,147,
1671017074410.3025,2727,310,114,147,
1671017074414.6567,2727,310,114,147,
1671017074419.011,2815,296,114,147,
1671017074423.365,2815,296,114,147,
1671017074427.7192,2989,277,114,147,
1671017074432.0732,2989,277,114,147,
1671017074436.4275,2989,277,114,147,
1671017074440.7817,2989,277,114,147,
1671017074445.1357,3192,260,114,147,
1671017074449.49,3192,260,114,147,
1671017074453.844,3315,252,114,147,
1671017074458.1982,3315,252,114,147,
1671017074462.5522,3304,253,114,147,
1671017074466.9065,3304,253,114,147,
1671017074471.2607,3304,253,114,147,
1671017074475.6147,3304,253,114,147,
1671017074479.969,3189,260,114,147,
1671017074484.323,3018,272,114,147,
1671017074488.6772,3018,272,114,147,
1671017074493.0315,2817,288,114,147,
1671017074497.3855,2817,288,114,147,
1671017074501.7397,2606,305,114,147,
1671017074506.0938,2606,305,114,147,
1671017074510.448,2606,305,114,147,
1671017074514.8022,2606,305,114,147,
1671017074519.1562,2414,319,114,147,
1671017074523.5105,2414,319,114,147,
1671017074527.8645,2273,327,114,147,
1671017074532.2188,2273,327,114,147,
1671017074536.573,2208,328,114,147,
1671017074540.927,2208,328,114,147,
1671017074545.2812,2229,324,114,147,
1671017074549.6353,2229,324,114,147,
1671017074553.9895,2229,324,114,147,
1671017074558.3435,2327,318,114,147,
1671017074562.6978,2327,318,114,147,
1671017074567.052,2476,312,108,139,
1671017074571.406,2476,312,108,139,
1671017074575.7603,2647,306,108,139,
1671017074580.1143,2647,306,108,139,
1671017074584.4685,2832,298,108,139,
1671017074588.8228,2832,298,108,139,
1671017074593.1768,2832,298,108,139,
1671017074597.531,2832,298,108,139,
1671017074601.885,3040,286,108,139,
1671017074606.2393,3040,286,108,139,
1671017074610.5935,3355,265,108,139,
1671017074614.9475,3355,265,108,139,
1671017074619.3018,3313,265,108,139,
1671017074623.6558,3313,265,108,139,
1671017074628.01,3313,265,108,139,
1671017074632.364,3313,265,108,139,
1671017074636.7183,3153,270,108,139,
1671017074641.0725,3153,270,108,139,
1671017074645.4265,2964,277,108,139,
1671017074649.7808,2964,277,108,139,
1671017074654.1348,2801,286,108,139,
1671017074658.489,2672,297,108,139,
1671017074662.8433,2672,297,108,139,
1671017074667.1973,2672,297,108,139,
1671017074671.5515,2574,308,108,139,
1671017074675.9055,2574,308,108,139,
1671017074680.2598,2518,314,108,139,
1671017074684.614,2518,314,108,139,
1671017074688.968,2518,314,108,139,
1671017074693.3223,2518,314,108,139,
1671017074697.6763,2518,314,108,139,
1671017074702.0305,2518,314,108,139,
1671017074706.3845,2530,310,108,139,
1671017074710.7388,2530,310,108,139,
1671017074715.093,2622,296,108,139,
1671017074719.447,2751,281,108,139,
1671017074723.8013,2751,281,108,139,
1671017074728.1553,2827,276,108,139,
1671017074732.5095,2827,276,108,139,
1671017074736.8638,2827,276,108,139,
1671017074741.2178,2827,276,108,139,
1671017074745.572,2778,285,108,139,
1671017074749.926,2778,285,108,139,
1671017074754.2803,2400,321,108,139,
1671017074758.6345,2400,321,108,139,
1671017074762.9885,2400,321,108,139,
1671017074767.3428,2400,321,108,139,
1671017074771.6968,2253,331,108,139,
1671017074776.051,2253,331,108,139,
1671017074780.405,2253,331,108,139,
1671017074784.7593,2253,331,108,139,
1671017074789.1135,2232,330,108,139,
1671017074793.4675,2334,321,108,139,
1671017074797.8218,2334,321,108,139,
1671017074802.1758,2500,310,108,139,
1671017074806.53,2500,310,108,139,
1671017074810.8843,2659,302,108,139,
1671017074815.2383,2659,302,108,139,
1671017074819.5925,2659,302,108,139,
1671017074823.9465,2785,296,108,139,
1671017074828.3008,2785,296,108,139,
1671017074832.655,3109,271,108,139,
1671017074837.009,3109,271,108,139,
1671017074841.3633,3109,271,108,139,
1671017074845.7173,3109,271,108,139,
1671017074850.0715,3305,259,108,139,
1671017074854.4255,3305,259,108,139,
1671017074858.7798,3377,260,108,139,
1671017074863.134,3377,260,108,139,
1671017074867.488,2876,303,108,139,
1671017074871.8423,2876,303,108,139,
1671017074876.1963,2876,303,108,139,
1671017074880.5505,2876,303,108,139,
1671017074884.9048,2876,303,108,139,
1671017074889.2588,2876,303,108,139,
1671017074893.613,2462,327,108,139,
1671017074897.967,2462,327,108,139,
1671017074902.3213,2144,341,108,139,
1671017074906.6755,2144,341,108,139,
1671017074911.0295,2099,336,108,139,
1671017074915.3838,2099,336,108,139,
1671017074919.7378,2099,336,108,139,
1671017074924.092,2099,336,108,139,
1671017074928.4463,2300,325,108,139,
1671017074932.8003,2300,325,108,139,
1671017074937.1545,2669,308,108,139,
1671017074941.5085,2669,308,108,139,
1671017074945.8628,2736,308,107,139,
1671017074950.2168,2736,308,107,139,
1671017074954.571,2736,302,107,139,
1671017074958.9253,2736,302,107,139,
1671017074963.2793,2736,302,107,139,
1671017074967.6335,2736,302,107,139,
1671017074971.9875,2771,293,107,139,
1671017074976.3418,2946,267,107,139,
1671017074980.696,2946,267,107,139,
1671017074985.05,2946,267,107,139,
1671017074989.4043,2946,267,107,139,
1671017074993.7583,3070,258,107,139,
1671017074998.1125,3070,258,107,139,
1671017075002.4668,3070,258,107,139,
1671017075006.8208,3179,255,107,139,
1671017075011.175,3179,255,107,139,
1671017075015.529,3176,270,107,139,
1671017075019.8833,3176,270,107,139,
1671017075024.2373,3176,270,107,139,
1671017075028.5916,3176,270,107,139,
1671017075032.9458,3014,283,107,139,
1671017075037.2998,3014,283,107,139,
1671017075041.654,3014,283,107,139,
1671017075046.008,2821,291,107,139,
1671017075050.3623,2821,291,107,139,
1671017075054.7166,2669,281,107,139,
1671017075059.0706,2669,281,107,139,
1671017075063.4248,2739,270,107,139,
1671017075067.7788,2739,270,107,139,
1671017075072.133,2739,270,107,139,
1671017075076.4873,2739,270,107,139,
1671017075080.8413,2739,270,107,139,
1671017075085.1956,2739,270,107,139,
1671017075089.5496,2849,262,107,139,
1671017075093.9038,2849,262,107,139,
1671017075098.2578,3022,257,107,139,
1671017075102.612,3069,257,107,139,
1671017075106.9663,3069,257,107,139,
1671017075111.3203,3069,257,107,139,
1671017075115.6746,3069,257,107,139,
1671017075120.0286,3158,262,107,139,
1671017075124.3828,3158,262,107,139,
1671017075128.737,3191,265,107,139,
1671017075133.091,3191,265,107,139,
1671017075137.4453,3170,265,108,140,
1671017075141.7993,3170,265,108,140,
1671017075146.1536,3170,265,108,140,
1671017075150.5078,3170,265,108,140,
1671017075154.8618,3170,269,108,140,
1671017075159.216,3170,269,108,140,
1671017075163.57,2963,279,108,140,
1671017075167.9243,2963,279,108,140,
1671017075172.2783,2826,289,108,140,
1671017075176.6326,2826,289,108,140,
1671017075180.9868,2826,289,108,140,
1671017075185.3408,2826,289,108,140,
1671017075189.695,2826,289,108,140,
1671017075194.049,2826,289,108,140,
1671017075198.4033,2826,289,108,140,
1671017075202.7576,2826,289,108,140,
1671017075207.1116,2617,308,108,140,
1671017075211.4658,2617,308,108,140,
1671017075215.8198,2651,304,108,140,
1671017075220.174,2651,304,108,140,
1671017075224.5283,2651,304,108,140,
1671017075228.8823,2651,304,108,140,
