time [s],Current, Voltage, Wire-feed
1669807157.0,0,0,1
1669807157.1,0,0,1
1669807157.1999998,107,172,1
1669807157.2999997,104,160,1
1669807157.3999996,105,151,1
1669807157.4999995,127,146,1
1669807157.5999994,108,146,1
1669807157.6999993,96,145,1
1669807157.7999992,1005,142,1
1669807157.8999991,1120,153,1
1669807157.999999,0,167,1
1669807158.099999,178,155,1
1669807158.1999989,280,154,1
1669807158.2999988,219,154,1
1669807158.3999987,277,150,1
1669807158.4999986,277,150,1
1669807158.5999985,765,147,1
1669807158.6999984,611,145,1
1669807158.7999983,741,137,1
1669807158.8999982,851,139,1
1669807158.999998,873,142,1
1669807159.099998,858,140,1
1669807159.199998,857,134,1
1669807159.2999978,893,139,1
1669807159.3999977,752,143,1
1669807159.4999976,636,145,1
1669807159.5999975,713,133,1
1669807159.6999974,953,132,1
1669807159.7999973,506,144,1
1669807159.8999972,927,131,1
1669807159.9999971,845,142,1
1669807160.099997,454,155,1
1669807160.199997,305,129,1
1669807160.2999969,695,137,1
1669807160.3999968,339,153,1
1669807160.4999967,57,151,1
1669807160.5999966,566,129,1
1669807160.6999965,989,131,1
1669807160.7999964,729,147,1
1669807160.8999963,231,141,1
1669807160.9999962,194,142,1
1669807161.099996,430,133,1
1669807161.199996,469,145,1
1669807161.299996,359,140,1
1669807161.3999958,371,139,1
1669807161.4999957,354,138,1
1669807161.5999956,319,141,1
1669807161.6999955,588,134,1
1669807161.7999954,361,149,1
1669807161.8999953,237,139,1
1669807161.9999952,932,130,1
1669807162.0999951,1056,135,1
1669807162.199995,894,127,1
1669807162.299995,1136,139,1
1669807162.3999949,122,151,1
1669807162.4999948,0,145,1
1669807162.5999947,1020,126,1
1669807162.6999946,1174,137,1
1669807162.7999945,614,152,1
1669807162.8999944,322,151,1
1669807162.9999943,92,138,1
1669807163.0999942,348,133,1
1669807163.199994,1082,135,1
1669807163.299994,964,141,1
1669807163.399994,210,152,1
1669807163.4999938,72,146,1
1669807163.5999937,337,148,1
1669807163.6999936,231,145,1
1669807163.7999935,1034,127,1
1669807163.8999934,1075,142,1
1669807163.9999933,312,152,1
1669807164.0999932,45,147,1
1669807164.1999931,375,140,1
1669807164.299993,430,140,1
1669807164.399993,429,139,1
1669807164.4999928,417,148,1
1669807164.5999928,220,142,1
1669807164.6999927,376,139,1
1669807164.7999926,335,150,1
1669807164.8999925,259,146,1
1669807164.9999924,694,137,1
1669807165.0999923,549,147,1
1669807165.1999922,447,138,1
1669807165.299992,567,138,1
1669807165.399992,449,146,1
1669807165.499992,496,140,1
1669807165.5999918,520,150,1
1669807165.6999917,577,131,1
1669807165.7999916,587,148,1
1669807165.8999915,438,145,1
1669807165.9999914,509,146,1
1669807166.0999913,452,138,1
1669807166.1999912,565,146,1
1669807166.2999911,276,141,1
1669807166.399991,864,133,1
1669807166.499991,942,146,1
1669807166.5999908,279,139,1
1669807166.6999907,443,142,1
1669807166.7999907,421,141,1
1669807166.8999906,923,135,1
1669807166.9999905,555,149,1
1669807167.0999904,325,153,1
1669807167.1999903,126,138,1
1669807167.2999902,245,133,1
1669807167.39999,909,135,1
1669807167.49999,1000,147,1
1669807167.59999,157,153,1
1669807167.6999898,42,144,1
1669807167.7999897,380,133,1
1669807167.8999896,935,139,1
1669807167.9999895,402,150,1
1669807168.0999894,37,147,1
1669807168.1999893,510,140,1
1669807168.2999892,615,142,1
1669807168.3999891,967,140,1
1669807168.499989,811,146,1
1669807168.599989,119,148,1
1669807168.6999888,475,139,1
1669807168.7999887,623,145,1
1669807168.8999887,517,146,1
1669807168.9999886,255,150,1
1669807169.0999885,304,146,1
1669807169.1999884,889,137,1
1669807169.2999883,350,150,1
1669807169.3999882,303,142,1
1669807169.499988,448,145,1
1669807169.599988,311,146,1
1669807169.699988,446,141,1
1669807169.7999878,471,147,1
1669807169.8999877,396,144,1
1669807169.9999876,572,135,1
1669807170.0999875,622,153,1
1669807170.1999874,79,151,1
1669807170.2999873,219,136,1
1669807170.3999872,970,129,1
1669807170.4999871,1082,147,1
1669807170.599987,316,149,1
1669807170.699987,130,145,1
1669807170.7999868,706,136,1
1669807170.8999867,632,150,1
1669807170.9999866,241,134,1
1669807171.0999866,569,142,1
1669807171.1999865,510,145,1
1669807171.2999864,864,135,1
1669807171.3999863,693,149,1
1669807171.4999862,205,154,1
1669807171.599986,102,150,1
1669807171.699986,153,138,1
1669807171.799986,1087,142,1
1669807171.8999858,772,151,1
1669807171.9999857,170,143,1
1669807172.0999856,375,141,1
1669807172.1999855,379,143,1
1669807172.2999854,698,141,1
1669807172.3999853,274,153,1
1669807172.4999852,277,143,1
1669807172.5999851,598,143,1
1669807172.699985,478,151,1
1669807172.799985,333,142,1
1669807172.8999848,812,135,1
1669807172.9999847,460,154,1
1669807173.0999846,235,146,1
1669807173.1999846,504,143,1
1669807173.2999845,451,145,1
1669807173.3999844,913,139,1
1669807173.4999843,815,149,1
1669807173.5999842,254,152,1
1669807173.699984,388,146,1
1669807173.799984,396,145,1
1669807173.899984,333,145,1
1669807173.9999838,782,134,1
1669807174.0999837,698,143,1
1669807174.1999836,296,150,1
1669807174.2999835,308,142,1
1669807174.3999834,849,136,1
1669807174.4999833,683,150,1
1669807174.5999832,381,138,1
1669807174.6999831,835,140,1
1669807174.799983,453,145,1
1669807174.899983,503,144,1
1669807174.9999828,289,146,1
1669807175.0999827,366,136,1
1669807175.1999826,889,143,1
1669807175.2999825,597,144,1
1669807175.3999825,669,142,1
1669807175.4999824,566,152,1
1669807175.5999823,208,140,1
1669807175.6999822,304,139,1
1669807175.799982,333,144,1
1669807175.899982,828,136,1
1669807175.9999819,497,149,1
1669807176.0999818,244,150,1
1669807176.1999817,302,145,1
1669807176.2999816,241,148,1
1669807176.3999815,911,131,1
1669807176.4999814,873,142,1
1669807176.5999813,394,146,1
1669807176.6999812,333,152,1
1669807176.799981,425,135,1
1669807176.899981,836,131,1
1669807176.999981,321,153,1
1669807177.0999808,223,148,1
1669807177.1999807,653,143,1
1669807177.2999806,560,149,1
1669807177.3999805,290,145,1
1669807177.4999804,578,137,1
1669807177.5999804,580,148,1
1669807177.6999803,277,142,1
1669807177.7999802,823,144,1
1669807177.89998,547,147,1
1669807177.99998,292,145,1
1669807178.0999799,292,145,1
1669807178.1999798,706,138,1
1669807178.2999797,671,143,1
1669807178.3999796,173,151,1
1669807178.4999795,561,135,1
1669807178.5999794,839,151,1
1669807178.6999793,278,144,1
1669807178.7999792,549,140,1
1669807178.899979,862,140,1
1669807178.999979,481,151,1
1669807179.099979,194,151,1
1669807179.1999788,353,146,1
1669807179.2999787,445,146,1
1669807179.3999786,414,147,1
1669807179.4999785,663,138,1
1669807179.5999784,524,147,1
1669807179.6999784,155,147,1
1669807179.7999783,915,135,1
1669807179.8999782,972,144,1
1669807179.999978,414,152,1
1669807180.099978,219,150,1
1669807180.1999779,379,141,1
1669807180.2999778,315,141,1
1669807180.3999777,427,145,1
1669807180.4999776,893,133,1
1669807180.5999775,438,155,1
1669807180.6999774,131,150,1
1669807180.7999773,399,144,1
1669807180.8999772,268,144,1
1669807180.999977,331,142,1
1669807181.099977,370,141,1
1669807181.199977,681,136,1
1669807181.2999768,756,152,1
1669807181.3999767,297,143,1
1669807181.4999766,397,142,1
1669807181.5999765,777,140,1
1669807181.6999764,539,155,1
1669807181.7999763,75,138,1
1669807181.8999763,344,138,1
1669807181.9999762,374,152,1
1669807182.099976,396,145,1
1669807182.199976,469,140,1
1669807182.2999759,549,138,1
1669807182.3999758,273,154,1
1669807182.4999757,110,143,1
1669807182.5999756,641,132,1
1669807182.6999755,916,144,1
1669807182.7999754,507,148,1
1669807182.8999753,105,147,1
1669807182.9999752,197,137,1
1669807183.099975,432,135,1
1669807183.199975,207,155,1
1669807183.299975,73,145,1
1669807183.3999748,522,139,1
1669807183.4999747,329,150,1
1669807183.5999746,292,133,1
1669807183.6999745,631,137,1
1669807183.7999744,337,140,1
1669807183.8999743,396,147,1
1669807183.9999743,127,137,1
1669807184.0999742,1137,126,1
1669807184.199974,1067,156,1
1669807184.299974,343,136,1
1669807184.3999739,1478,120,1
1669807184.4999738,752,146,1
1669807184.5999737,752,146,1
1669807184.6999736,752,146,1
1669807184.7999735,752,146,1
1669807184.8999734,752,146,1
1669807184.9999733,752,146,1
1669807185.0999732,752,146,1
1669807185.199973,752,146,1
1669807185.299973,752,146,1
1669807185.399973,752,146,1
1669807185.4999728,752,146,1
1669807185.5999727,752,146,1
1669807185.6999726,752,146,1
1669807185.7999725,752,146,1
1669807185.8999724,752,146,1
1669807185.9999723,752,146,1
