time [s],Current, Voltage, Wire-feed, Gas-flow,
1671026534441.313,5,0,0,0,
1671026534445.3325,5,0,0,0,
1671026534449.352,5,0,0,0,
1671026534453.3716,5,0,0,0,
1671026534457.391,5,0,0,0,
1671026534461.411,5,0,0,0,
1671026534465.4304,5,0,0,0,
1671026534469.45,5,0,0,0,
1671026534473.4695,5,0,0,0,
1671026534477.489,5,0,0,0,
1671026534481.5085,5,0,0,0,
1671026534485.528,5,0,0,0,
1671026534489.5476,5,0,0,0,
1671026534493.5671,5,0,0,0,
1671026534497.5867,5,0,0,0,
1671026534501.6064,5,0,0,0,
1671026534505.626,5,0,0,0,
1671026534509.6455,5,0,0,0,
1671026534513.665,5,0,0,0,
1671026534517.6846,5,0,0,0,
1671026534521.704,5,0,0,0,
1671026534525.7236,5,0,0,0,
1671026534529.7432,5,0,0,0,
1671026534533.7627,5,0,0,0,
1671026534537.7822,5,0,0,0,
1671026534541.802,5,0,0,0,
1671026534545.8215,5,0,0,0,
1671026534549.841,5,0,0,0,
1671026534553.8606,5,0,0,0,
1671026534557.8801,5,0,0,0,
1671026534561.8997,5,0,0,0,
1671026534565.9192,5,0,0,0,
1671026534569.9387,5,0,0,0,
1671026534573.9583,5,0,0,0,
1671026534577.9778,5,0,0,0,
1671026534581.9976,5,0,0,0,
1671026534586.017,5,0,0,0,
1671026534590.0366,5,0,0,0,
1671026534594.0562,5,0,0,0,
1671026534598.0757,5,0,0,0,
1671026534602.0952,5,0,0,0,
1671026534606.1147,5,0,0,0,
1671026534610.1343,5,0,0,0,
1671026534614.1538,5,0,0,0,
1671026534618.1736,5,0,0,0,
1671026534622.193,5,0,0,0,
1671026534626.2126,5,0,0,0,
1671026534630.2322,5,0,0,0,
1671026534634.2517,5,0,0,0,
1671026534638.2712,5,0,0,0,
1671026534642.2908,5,0,0,0,
1671026534646.3103,5,0,0,0,
1671026534650.3298,5,0,0,0,
1671026534654.3494,5,0,0,0,
1671026534658.3691,5,0,0,0,
1671026534662.3887,5,0,0,0,
1671026534666.4082,5,0,0,0,
1671026534670.4277,5,0,0,0,
1671026534674.4473,5,0,0,0,
1671026534678.4668,5,0,0,0,
1671026534682.4863,5,0,0,0,
1671026534686.5059,5,0,0,0,
1671026534690.5254,5,0,0,0,
1671026534694.545,5,0,0,0,
1671026534698.5647,5,0,0,0,
1671026534702.5842,5,0,0,0,
1671026534706.6038,5,0,0,0,
1671026534710.6233,5,0,0,0,
1671026534714.6428,5,0,0,0,
1671026534718.6624,5,0,0,0,
1671026534722.682,5,0,0,0,
1671026534726.7014,5,0,0,0,
1671026534730.721,5,0,0,0,
1671026534734.7407,853,165,0,0,
1671026534738.7603,853,165,0,0,
1671026534742.7798,769,181,0,140,
1671026534746.7993,769,181,0,140,
1671026534750.8188,769,181,0,140,
1671026534754.8384,769,181,0,140,
1671026534758.858,769,235,0,140,
1671026534762.8774,769,235,0,140,
1671026534766.897,625,349,0,140,
1671026534770.9165,625,349,0,140,
1671026534774.9363,410,517,0,140,
1671026534778.9558,410,517,0,140,
1671026534782.9753,0,700,0,140,
1671026534786.9949,0,700,0,140,
1671026534791.0144,0,700,0,140,
1671026534795.034,0,700,0,140,
1671026534799.0535,0,847,0,140,
1671026534803.073,0,847,0,140,
1671026534807.0925,0,924,0,140,
1671026534811.112,0,924,0,140,
1671026534815.1318,0,891,0,140,
1671026534819.1514,0,891,0,140,
1671026534823.171,0,842,0,140,
1671026534827.1904,0,842,0,140,
1671026534831.21,0,842,0,140,
1671026534835.2295,0,842,0,140,
1671026534839.249,0,842,0,140,
1671026534843.2686,0,842,0,140,
1671026534847.288,35,809,0,140,
1671026534851.3076,35,809,0,140,
1671026534855.3274,35,801,0,140,
1671026534859.347,35,801,0,140,
1671026534863.3665,35,813,0,140,
1671026534867.386,35,813,0,140,
1671026534871.4055,35,813,0,140,
1671026534875.425,35,813,0,140,
1671026534879.4446,6,833,0,140,
1671026534883.464,6,833,0,140,
1671026534887.4836,6,855,0,140,
1671026534891.5034,6,855,0,140,
1671026534895.523,6,855,0,140,
1671026534899.5425,6,855,0,140,
1671026534903.562,6,855,0,140,
1671026534907.5815,6,855,0,140,
1671026534911.601,6,852,0,140,
1671026534915.6206,6,852,0,140,
1671026534919.6401,6,845,0,140,
1671026534923.6597,6,845,0,140,
1671026534927.6792,6,836,0,140,
1671026534931.699,6,836,0,140,
1671026534935.7185,6,836,0,140,
1671026534939.738,6,836,0,140,
1671026534943.7576,6,836,10,82,
1671026534947.777,6,836,10,82,
1671026534951.7966,6,836,10,82,
1671026534955.8162,6,836,10,82,
1671026534959.8357,6,838,10,82,
1671026534963.8552,6,838,10,82,
1671026534967.8748,6,840,10,82,
1671026534971.8945,6,840,10,82,
1671026534975.914,6,840,10,82,
1671026534979.9336,6,840,10,82,
1671026534983.9531,6,839,10,82,
1671026534987.9727,6,839,10,82,
1671026534991.9922,76,827,10,82,
1671026534996.0117,76,827,10,82,
1671026535000.0312,670,692,10,82,
1671026535004.0508,670,692,10,82,
1671026535008.0703,1122,546,10,82,
1671026535012.09,1122,546,10,82,
1671026535016.1096,1122,546,10,82,
1671026535020.1292,1122,546,10,82,
1671026535024.1487,1122,546,10,82,
1671026535028.1682,1122,546,10,82,
1671026535032.1877,1431,546,10,82,
1671026535036.2073,1431,546,10,82,
1671026535040.2268,1174,125,10,82,
1671026535044.2463,1174,125,10,82,
1671026535048.266,830,89,10,82,
1671026535052.2856,830,89,10,82,
1671026535056.3052,830,89,10,82,
1671026535060.3247,830,89,10,82,
1671026535064.3442,708,89,10,82,
1671026535068.3638,708,89,10,82,
1671026535072.3833,708,98,10,82,
1671026535076.4028,708,98,10,82,
1671026535080.4224,1673,158,10,82,
1671026535084.442,1673,158,10,82,
1671026535088.4617,1673,158,10,82,
1671026535092.4812,1673,158,10,82,
1671026535096.5007,2378,181,10,82,
1671026535100.5203,2378,181,10,82,
1671026535104.5398,2378,181,10,82,
1671026535108.5593,2378,181,10,82,
1671026535112.5789,2859,191,10,82,
1671026535116.5984,2859,191,10,82,
1671026535120.618,3084,190,10,82,
1671026535124.6375,3084,190,10,82,
1671026535128.6572,3084,190,10,82,
1671026535132.6768,3084,190,10,82,
1671026535136.6963,3164,191,10,90,
1671026535140.7158,3164,191,10,90,
1671026535144.7354,3080,191,56,90,
1671026535148.755,3080,191,56,90,
1671026535152.7744,2895,222,56,90,
1671026535156.794,2895,222,56,90,
1671026535160.8135,2658,240,56,90,
1671026535164.833,2658,240,56,90,
1671026535168.8528,2658,240,56,90,
1671026535172.8723,2658,240,56,90,
1671026535176.8918,2658,240,56,90,
1671026535180.9114,2658,240,56,90,
1671026535184.931,2435,257,56,90,
1671026535188.9504,2435,257,56,90,
1671026535192.97,2117,294,56,90,
1671026535196.9895,2117,294,56,90,
1671026535201.009,2012,311,56,90,
1671026535205.0288,2012,311,56,90,
1671026535209.0483,2012,311,56,90,
1671026535213.0679,2012,311,56,90,
1671026535217.0874,1970,323,56,90,
1671026535221.107,1970,323,56,90,
1671026535225.1265,1970,323,56,90,
1671026535229.146,1970,323,56,90,
1671026535233.1655,2211,331,56,90,
1671026535237.185,2211,331,56,90,
1671026535241.2046,2471,331,56,90,
1671026535245.2244,2471,331,56,90,
1671026535249.244,2471,331,56,90,
1671026535253.2634,2471,331,56,90,
1671026535257.283,2748,331,56,90,
1671026535261.3025,2748,331,56,90,
1671026535265.322,2748,331,56,90,
1671026535269.3416,2748,331,56,90,
1671026535273.361,3204,335,56,90,
1671026535277.3806,3204,335,56,90,
1671026535281.4001,3204,335,56,90,
1671026535285.42,3204,335,56,90,
1671026535289.4395,3391,340,56,90,
1671026535293.459,3391,340,56,90,
1671026535297.4785,3566,346,56,90,
1671026535301.498,3566,346,56,90,
1671026535305.5176,3566,346,56,90,
1671026535309.537,3566,346,56,90,
1671026535313.5566,3835,353,56,90,
1671026535317.5762,3835,353,56,90,
1671026535321.596,3835,353,56,90,
1671026535325.6155,3835,353,56,90,
1671026535329.635,3897,352,56,90,
1671026535333.6545,3897,352,56,90,
1671026535337.674,3897,350,56,90,
1671026535341.6936,3897,350,56,90,
1671026535345.7131,3858,349,141,152,
1671026535349.7327,3858,349,141,152,
1671026535353.7522,3858,349,141,152,
1671026535357.7717,3858,349,141,152,
1671026535361.7915,3858,349,141,152,
1671026535365.811,3858,349,141,152,
1671026535369.8306,3782,350,141,152,
1671026535373.85,3782,350,141,152,
1671026535377.8696,3697,352,141,152,
1671026535381.8892,3697,352,141,152,
1671026535385.9087,3627,354,141,152,
1671026535389.9282,3627,354,141,152,
1671026535393.9478,3590,355,141,152,
1671026535397.9673,3590,355,141,152,
1671026535401.987,3590,355,141,152,
1671026535406.0066,3590,355,141,152,
1671026535410.0261,3590,355,141,152,
1671026535414.0457,3590,355,141,152,
1671026535418.0652,3617,354,141,152,
1671026535422.0847,3617,354,141,152,
1671026535426.1042,3654,352,141,152,
1671026535430.1238,3654,352,141,152,
1671026535434.1433,3687,350,141,152,
1671026535438.1628,3687,350,141,152,
1671026535442.1826,3687,350,141,152,
1671026535446.2021,3687,350,141,152,
1671026535450.2217,3709,349,141,152,
1671026535454.2412,3709,349,141,152,
1671026535458.2607,3719,349,141,152,
1671026535462.2803,3719,349,141,152,
1671026535466.2998,3719,349,141,152,
1671026535470.3193,3719,349,141,152,
1671026535474.3389,3719,349,141,152,
1671026535478.3586,3719,349,141,152,
1671026535482.3782,3706,349,141,152,
1671026535486.3977,3706,349,141,152,
1671026535490.4172,3682,349,141,152,
1671026535494.4368,3682,349,141,152,
1671026535498.4563,3649,349,141,152,
1671026535502.4758,3649,349,141,152,
1671026535506.4954,3615,349,141,152,
1671026535510.515,3615,349,141,152,
1671026535514.5344,3615,349,141,152,
1671026535518.5542,3586,349,141,152,
1671026535522.5737,3586,349,141,152,
1671026535526.5933,3561,349,141,152,
1671026535530.6128,3533,350,142,159,
1671026535534.6323,3533,350,142,159,
1671026535538.6519,3494,352,142,159,
1671026535542.6714,3494,352,142,159,
1671026535546.691,3494,352,142,159,
1671026535550.7104,3494,352,142,159,
1671026535554.73,3443,355,142,159,
1671026535558.7498,3443,355,142,159,
1671026535562.7693,3391,358,142,159,
1671026535566.7888,3391,358,142,159,
1671026535570.8083,3357,360,142,159,
1671026535574.828,3357,360,142,159,
1671026535578.8474,3357,360,142,159,
1671026535582.867,3357,360,142,159,
1671026535586.8865,3357,360,142,159,
1671026535590.906,3404,357,142,159,
1671026535594.9255,3404,357,142,159,
1671026535598.9453,3492,357,142,159,
1671026535602.9648,3492,357,142,159,
1671026535606.9844,3599,347,142,159,
1671026535611.004,3599,347,142,159,
1671026535615.0234,3688,344,142,159,
1671026535619.043,3688,344,142,159,
1671026535623.0625,3688,344,142,159,
1671026535627.082,3688,344,142,159,
1671026535631.1016,3729,344,142,159,
1671026535635.1213,3729,344,142,159,
1671026535639.1409,3716,346,142,159,
1671026535643.1604,3716,346,142,159,
1671026535647.18,3666,349,142,159,
1671026535651.1995,3666,349,142,159,
1671026535655.219,3666,349,142,159,
1671026535659.2385,3666,349,142,159,
1671026535663.258,3605,352,142,159,
1671026535667.2776,3605,352,142,159,
1671026535671.297,3555,354,142,159,
1671026535675.317,3555,354,142,159,
1671026535679.3364,3525,355,142,159,
1671026535683.356,3525,355,142,159,
1671026535687.3755,3512,355,142,159,
1671026535691.395,3512,355,142,159,
1671026535695.4146,3512,355,142,159,
1671026535699.434,3512,355,142,159,
1671026535703.4536,3512,354,142,159,
1671026535707.4731,3512,354,142,159,
1671026535711.4927,3501,353,142,159,
1671026535715.5125,3501,353,142,159,
1671026535719.532,3501,353,142,159,
1671026535723.5515,3501,353,142,159,
1671026535727.571,3501,353,142,159,
1671026535731.5906,3501,353,142,159,
1671026535735.61,3501,353,142,159,
1671026535739.6296,3501,353,142,159,
1671026535743.6492,3436,355,142,160,
1671026535747.6687,3436,355,142,160,
1671026535751.6882,3406,356,142,160,
1671026535755.708,3406,356,142,160,
1671026535759.7275,3375,357,142,160,
1671026535763.747,3375,357,142,160,
1671026535767.7666,3345,357,142,160,
1671026535771.7861,3345,357,142,160,
1671026535775.8057,3345,357,142,160,
1671026535779.8252,3345,357,142,160,
1671026535783.8447,3321,356,142,160,
1671026535787.8643,3321,356,142,160,
1671026535791.884,3311,354,142,160,
1671026535795.9036,3311,354,142,160,
1671026535799.923,3337,351,142,160,
1671026535803.9426,3337,351,142,160,
1671026535807.9622,3337,351,142,160,
1671026535811.9817,3337,351,142,160,
1671026535816.0012,3337,351,142,160,
1671026535820.0208,3337,351,142,160,
1671026535824.0403,3348,351,142,160,
