time [s],Current, Voltage, Wire-feed
1669892951.0,0,0,1
1669892951.1,0,0,1
1669892951.1999998,2809,294,1
1669892951.2999997,2909,339,1
1669892951.3999996,3238,350,1
1669892951.4999995,3376,347,1
1669892951.5999994,3376,345,1
1669892951.6999993,3327,345,1
1669892951.7999992,3357,342,1
1669892951.8999991,3298,340,1
1669892951.999999,3347,340,1
1669892952.099999,3416,342,1
1669892952.1999989,3433,340,1
1669892952.2999988,3113,344,1
1669892952.3999987,3113,344,1
1669892952.4999986,3369,339,1
1669892952.5999985,3283,344,1
1669892952.6999984,3213,343,1
1669892952.7999983,3129,349,1
1669892952.8999982,3391,328,1
1669892952.999998,3391,328,1
1669892953.099998,3269,327,1
1669892953.199998,3205,324,1
1669892953.2999978,3034,324,1
1669892953.3999977,3007,323,1
1669892953.4999976,3157,312,1
1669892953.5999975,3157,312,1
1669892953.6999974,3042,307,1
1669892953.7999973,3042,307,1
1669892953.8999972,3079,293,1
1669892953.9999971,2978,305,1
1669892954.099997,3069,271,1
1669892954.199997,3305,265,1
1669892954.2999969,2653,301,1
1669892954.3999968,2653,301,1
1669892954.4999967,3236,246,1
1669892954.5999966,3415,259,1
1669892954.6999965,2467,314,1
1669892954.7999964,2622,299,1
1669892954.8999963,2768,298,1
1669892954.9999962,2877,276,1
1669892955.099996,3425,269,1
1669892955.199996,3050,293,1
1669892955.299996,2703,296,1
1669892955.3999958,2887,284,1
1669892955.4999957,2789,283,1
1669892955.5999956,2907,284,1
1669892955.6999955,2924,271,1
1669892955.7999954,3005,281,1
1669892955.8999953,2758,299,1
1669892955.9999952,2829,292,1
1669892956.0999951,2782,294,1
1669892956.199995,2874,283,1
1669892956.299995,3500,252,1
1669892956.3999949,2629,314,1
1669892956.4999948,2850,292,1
1669892956.5999947,2850,292,1
1669892956.6999946,2820,286,1
1669892956.7999945,2946,282,1
1669892956.8999944,2805,298,1
1669892956.9999943,2804,297,1
1669892957.0999942,2791,301,1
1669892957.199994,2663,302,1
1669892957.299994,2816,283,1
1669892957.399994,3072,264,1
1669892957.4999938,2738,305,1
1669892957.5999937,2530,312,1
1669892957.6999936,2940,279,1
1669892957.7999935,2702,301,1
1669892957.8999934,2856,291,1
1669892957.9999933,2913,286,1
1669892958.0999932,2828,285,1
1669892958.1999931,2928,281,1
1669892958.299993,2723,304,1
1669892958.399993,2733,296,1
1669892958.4999928,2795,286,1
1669892958.5999928,2765,291,1
1669892958.6999927,2824,292,1
1669892958.7999926,2928,276,1
1669892958.8999925,2861,298,1
1669892958.9999924,2511,309,1
1669892959.0999923,3084,268,1
1669892959.1999922,2750,301,1
1669892959.299992,2829,288,1
1669892959.399992,2856,278,1
1669892959.499992,2712,303,1
1669892959.5999918,2828,286,1
1669892959.6999917,2839,299,1
1669892959.7999916,2803,302,1
1669892959.8999915,2883,288,1
1669892959.9999914,2872,288,1
1669892960.0999913,2828,301,1
1669892960.1999912,2833,303,1
1669892960.2999911,2757,298,1
1669892960.399991,2762,299,1
1669892960.499991,2777,299,1
1669892960.5999908,2817,300,1
1669892960.6999907,2687,300,1
1669892960.7999907,2759,282,1
1669892960.8999906,2920,293,1
1669892960.9999905,2662,310,1
1669892961.0999904,2865,289,1
1669892961.1999903,2692,303,1
1669892961.2999902,2741,299,1
1669892961.39999,2917,291,1
1669892961.49999,2768,296,1
1669892961.59999,2708,297,1
1669892961.6999898,2881,291,1
1669892961.7999897,2813,289,1
1669892961.8999896,2757,292,1
1669892961.9999895,2758,294,1
1669892962.0999894,2899,285,1
1669892962.1999893,2763,301,1
1669892962.2999892,2713,301,1
1669892962.3999891,2858,288,1
1669892962.499989,2783,301,1
1669892962.599989,2748,304,1
1669892962.6999888,2820,294,1
1669892962.7999887,2833,296,1
1669892962.8999887,2728,296,1
1669892962.9999886,2759,293,1
1669892963.0999885,2871,291,1
1669892963.1999884,2830,288,1
1669892963.2999883,2842,283,1
1669892963.3999882,2688,305,1
1669892963.499988,2765,296,1
1669892963.599988,2785,295,1
1669892963.699988,2726,297,1
1669892963.7999878,2804,287,1
1669892963.8999877,2815,297,1
1669892963.9999876,2698,305,1
1669892964.0999875,2783,290,1
1669892964.1999874,2843,295,1
1669892964.2999873,2672,298,1
1669892964.3999872,2704,289,1
1669892964.4999871,2911,284,1
1669892964.599987,2807,296,1
1669892964.699987,2717,292,1
1669892964.7999868,2872,295,1
1669892964.8999867,2800,286,1
1669892964.9999866,2860,280,1
1669892965.0999866,2861,292,1
1669892965.1999865,2733,299,1
1669892965.2999864,2798,294,1
1669892965.3999863,2786,294,1
1669892965.4999862,2765,299,1
1669892965.599986,2760,297,1
1669892965.699986,2849,295,1
1669892965.799986,2865,292,1
1669892965.8999858,2789,296,1
1669892965.9999857,2778,296,1
1669892966.0999856,2695,296,1
1669892966.1999855,2692,293,1
1669892966.2999854,2803,288,1
1669892966.3999853,2749,298,1
