time [s],Current[A],Voltage[V],Wire-feed[m/min],Gas-flow[L/min],Unnamed: 5
1.67052E+12,3030,305,108,140,
1.67052E+12,3030,305,108,140,
1.67052E+12,3030,303,108,140,
1.67052E+12,3019,299,108,140,
1.67052E+12,3064,296,108,140,
1.67052E+12,3084,301,108,140,
1.67052E+12,3073,302,108,140,
1.67052E+12,3083,301,108,140,
1.67052E+12,3072,302,108,140,
1.67052E+12,3024,301,108,140,
1.67052E+12,3024,302,108,140,
1.67052E+12,2955,306,108,140,
1.67052E+12,2972,307,108,140,
1.67052E+12,3000,306,108,140,
1.67052E+12,3000,303,108,140,
1.67052E+12,3063,298,108,140,
1.67052E+12,3063,296,108,140,
1.67052E+12,3115,298,108,139,
1.67052E+12,3115,300,108,139,
1.67052E+12,3085,302,108,139,
1.67052E+12,3068,301,108,139,
1.67052E+12,3025,303,108,139,
1.67052E+12,3005,301,108,139,
1.67052E+12,3047,306,108,139,
1.67052E+12,3014,307,108,138,
1.67052E+12,2984,301,108,138,
1.67052E+12,2984,305,108,138,
1.67052E+12,3007,304,108,138,
1.67052E+12,3007,303,108,138,
1.67052E+12,2955,308,108,139,
1.67052E+12,2994,304,108,139,
1.67052E+12,3005,305,108,139,
1.67052E+12,3005,302,108,139,
1.67052E+12,3023,300,108,139,
1.67052E+12,3005,301,108,139,
1.67052E+12,3010,299,108,139,
1.67052E+12,3052,300,108,141,
1.67052E+12,3036,300,108,141,
1.67052E+12,3036,301,108,141,
1.67052E+12,3064,300,108,141,
1.67052E+12,3064,301,108,141,
1.67052E+12,3021,301,108,140,
1.67052E+12,3011,300,108,140,
1.67052E+12,3011,301,108,140,
1.67052E+12,3001,305,108,140,
1.67052E+12,2963,306,108,140,
1.67052E+12,2938,305,108,140,
1.67052E+12,2906,304,108,143,
1.67052E+12,2962,301,108,143,
1.67052E+12,3031,302,108,143,
1.67052E+12,3087,306,108,143,
1.67052E+12,2959,303,108,143,
1.67052E+12,2959,302,108,143,
1.67052E+12,3095,296,108,141,
1.67052E+12,3058,297,108,141,
1.67052E+12,3033,302,108,141,
1.67052E+12,3033,303,108,141,
1.67052E+12,3046,301,108,141,
1.67052E+12,2973,304,108,141,
1.67052E+12,2964,305,108,141,
1.67052E+12,3025,304,108,139,
1.67052E+12,2976,304,108,139,
1.67052E+12,2976,304,108,139,
1.67052E+12,2991,305,108,139,
1.67052E+12,3066,305,108,139,
1.67052E+12,3022,304,108,140,
1.67052E+12,2966,306,109,140,
1.67052E+12,3004,304,109,140,
1.67052E+12,3046,306,109,140,
1.67052E+12,2976,306,109,140,
1.67052E+12,2976,306,109,140,
1.67052E+12,3021,301,108,141,
1.67052E+12,3034,302,108,141,
1.67052E+12,3003,307,108,141,
1.67052E+12,2988,304,108,141,
1.67052E+12,3032,301,108,141,
1.67052E+12,2987,306,108,141,
1.67052E+12,2960,301,108,138,
1.67052E+12,2979,301,108,138,
1.67052E+12,2990,301,108,138,
1.67052E+12,2990,301,108,138,
1.67052E+12,2990,301,108,138,
1.67052E+12,3032,301,108,138,
1.67052E+12,3018,301,108,138,
1.67052E+12,3018,301,108,141,
1.67052E+12,2983,301,108,141,
1.67052E+12,3043,304,108,141,
1.67052E+12,3063,303,108,141,
1.67052E+12,3021,296,108,141,
1.67052E+12,3013,300,108,141,
1.67052E+12,3053,305,108,139,
1.67052E+12,3040,300,108,139,
1.67052E+12,3052,298,108,139,
1.67052E+12,3118,294,108,139,
1.67052E+12,3118,294,108,139,
1.67052E+12,3095,300,108,139,
1.67052E+12,3025,301,108,141,
1.67052E+12,2919,306,108,141,
1.67052E+12,2947,304,108,141,
1.67052E+12,3024,305,108,141,
1.67052E+12,3024,305,108,141,
1.67052E+12,2966,305,108,142,
1.67052E+12,2966,304,108,142,
1.67052E+12,2966,304,108,142,
1.67052E+12,2956,305,108,142,
1.67052E+12,2905,310,108,142,
1.67052E+12,2937,308,108,142,
1.67052E+12,2974,303,108,142,
1.67052E+12,2974,301,108,140,
1.67052E+12,3060,296,108,140,
1.67052E+12,3091,294,108,140,
1.67052E+12,3103,297,108,140,
1.67052E+12,3093,299,108,140,
1.67052E+12,3010,304,109,140,
1.67052E+12,2958,305,109,140,
1.67052E+12,3011,304,109,140,
1.67052E+12,3011,304,109,140,
1.67052E+12,3060,305,109,140,
1.67052E+12,3117,304,109,140,
1.67052E+12,3054,299,109,140,
1.67052E+12,3024,301,108,143,
1.67052E+12,2986,299,108,143,
1.67052E+12,2996,301,108,143,
1.67052E+12,3040,300,108,143,
1.67052E+12,3050,304,108,143,
1.67052E+12,2982,301,109,138,
1.67052E+12,2998,301,109,138,
1.67052E+12,3008,307,109,138,
1.67052E+12,2997,302,109,138,
1.67052E+12,2972,303,109,138,
1.67052E+12,3009,302,109,138,
1.67052E+12,3085,298,109,138,
1.67052E+12,3097,296,108,141,
1.67052E+12,3039,298,108,141,
1.67052E+12,2994,302,108,141,
1.67052E+12,2983,305,108,141,
1.67052E+12,2983,303,108,141,
1.67052E+12,2930,309,108,142,
1.67052E+12,2968,307,108,142,
1.67052E+12,2937,309,108,142,
1.67052E+12,2937,308,108,142,
1.67052E+12,2964,309,108,142,
1.67052E+12,2949,307,108,142,
1.67052E+12,2935,308,108,142,
1.67052E+12,2935,307,108,141,
1.67052E+12,3000,303,108,141,
1.67052E+12,3028,302,108,141,
1.67052E+12,3016,303,108,141,
1.67052E+12,3002,301,108,141,
1.67052E+12,2961,301,108,141,
1.67052E+12,2942,303,108,141,
1.67052E+12,3039,307,108,141,
1.67052E+12,3039,308,108,141,
1.67052E+12,2968,302,108,141,
1.67052E+12,2994,303,108,141,
1.67052E+12,2935,307,108,141,
1.67052E+12,2913,310,108,140,
1.67052E+12,2924,305,108,140,
1.67052E+12,2957,299,108,140,
1.67052E+12,2984,308,108,140,
1.67052E+12,2953,309,108,140,
1.67052E+12,2944,303,108,140,
1.67052E+12,2929,305,108,143,
1.67052E+12,3003,301,108,143,
1.67052E+12,3003,299,108,143,
1.67052E+12,3052,295,108,143,
1.67052E+12,3067,293,108,143,
1.67052E+12,3067,298,108,143,
1.67052E+12,3022,302,108,141,
1.67052E+12,2951,306,108,141,
1.67052E+12,2917,305,108,141,
1.67052E+12,2939,306,108,141,
1.67052E+12,2971,306,108,141,
1.67052E+12,3009,304,108,141,
1.67052E+12,3009,302,108,141,
1.67052E+12,3009,301,108,141,
1.67052E+12,2980,306,108,141,
1.67052E+12,2901,304,108,141,
1.67052E+12,2969,298,108,141,
1.67052E+12,2948,301,108,141,
1.67052E+12,2919,304,108,141,
1.67052E+12,2997,308,108,141,
1.67052E+12,3001,305,108,141,
1.67052E+12,2977,303,108,141,
1.67052E+12,2977,305,108,141,
1.67052E+12,2947,302,108,141,
1.67052E+12,2947,301,108,141,
1.67052E+12,2993,301,108,141,
1.67052E+12,3009,301,108,141,
1.67052E+12,3051,302,108,141,
1.67052E+12,3051,301,108,141,
1.67052E+12,3008,303,108,141,
1.67052E+12,2922,301,108,139,
1.67052E+12,2924,304,108,139,
1.67052E+12,2974,307,108,139,
1.67052E+12,2985,301,108,139,
1.67052E+12,2925,302,108,139,
1.67052E+12,2988,301,108,139,
1.67052E+12,3005,303,109,141,
1.67052E+12,2995,302,109,141,
1.67052E+12,2984,303,109,141,
1.67052E+12,2974,302,109,141,
1.67052E+12,2985,303,109,141,
1.67052E+12,3037,297,109,141,
1.67052E+12,3048,302,108,141,
1.67052E+12,3010,302,108,141,
1.67052E+12,3010,302,108,141,
1.67052E+12,2964,306,108,141,
1.67052E+12,2964,309,108,141,
1.67052E+12,2922,307,108,141,
1.67052E+12,2896,304,107,142,
1.67052E+12,2983,304,107,142,
1.67052E+12,2965,304,107,142,
1.67052E+12,2933,304,107,142,
1.67052E+12,2933,304,107,142,
1.67052E+12,2947,304,107,142,
1.67052E+12,2996,304,108,141,
1.67052E+12,2957,304,108,141,
1.67052E+12,2978,303,108,141,
1.67052E+12,3040,298,108,141,
1.67052E+12,3050,300,108,141,
1.67052E+12,2876,301,108,141,
1.67052E+12,2876,303,108,141,
1.67052E+12,3024,312,108,141,
1.67052E+12,3008,308,108,141,
1.67052E+12,2932,301,108,141,
1.67052E+12,2932,306,108,141,
1.67052E+12,2903,303,108,141,
1.67052E+12,2903,302,108,139,
1.67052E+12,2927,303,108,139,
1.67052E+12,2983,303,108,139,
1.67052E+12,2968,302,108,139,
1.67052E+12,2944,303,108,139,
1.67052E+12,2872,302,108,139,
1.67052E+12,2952,304,108,141,
1.67052E+12,2963,301,108,141,
1.67052E+12,2999,298,108,141,
1.67052E+12,2962,301,108,141,
1.67052E+12,2921,304,108,141,
1.67052E+12,2971,303,108,141,
1.67052E+12,3007,304,108,141,
1.67052E+12,2942,303,108,141,
1.67052E+12,2932,308,108,141,
1.67052E+12,2942,306,108,141,
1.67052E+12,2984,308,108,141,
1.67052E+12,2926,302,108,141,
1.67052E+12,2953,302,108,141,
1.67052E+12,3010,297,108,141,
1.67052E+12,2983,299,108,141,
1.67052E+12,2967,302,108,141,
1.67052E+12,2941,302,108,141,
1.67052E+12,2963,301,108,141,
1.67052E+12,3018,303,108,142,
1.67052E+12,2918,301,108,142,
1.67052E+12,2897,304,108,142,
1.67052E+12,3008,308,108,142,
1.67052E+12,2953,303,108,142,
1.67052E+12,2942,305,108,139,
1.67052E+12,3017,307,108,139,
1.67052E+12,3036,301,108,139,
1.67052E+12,3017,303,108,139,
1.67052E+12,2945,300,108,139,
1.67052E+12,2985,305,108,139,
1.67052E+12,2928,304,108,139,
1.67052E+12,2928,304,108,142,
