time [s],Current[A],Voltage[V],Wire-feed[m/min],Gas-flow[L/min],Unnamed: 5
1.67052E+12,2956,297,108,142,
1.67052E+12,2903,298,108,140,
1.67052E+12,2887,303,108,140,
1.67052E+12,2942,303,108,140,
1.67052E+12,2948,303,108,140,
1.67052E+12,2924,303,108,140,
1.67052E+12,2941,303,108,140,
1.67052E+12,2976,303,108,140,
1.67052E+12,2951,303,107,142,
1.67052E+12,2880,303,107,142,
1.67052E+12,2925,303,107,142,
1.67052E+12,2977,303,107,142,
1.67052E+12,2990,303,107,142,
1.67052E+12,2842,303,107,142,
1.67052E+12,2858,303,108,140,
1.67052E+12,3087,303,108,140,
1.67052E+12,3063,303,108,140,
1.67052E+12,2879,303,108,140,
1.67052E+12,2879,303,108,140,
1.67052E+12,2913,303,108,140,
1.67052E+12,2913,303,108,140,
1.67052E+12,2941,304,108,140,
1.67052E+12,2911,308,108,140,
1.67052E+12,2856,306,108,140,
1.67052E+12,2846,303,108,140,
1.67052E+12,2960,308,108,140,
1.67052E+12,2987,304,108,139,
1.67052E+12,2977,305,108,139,
1.67052E+12,2918,303,108,139,
1.67052E+12,2900,300,108,139,
1.67052E+12,2942,298,108,139,
1.67052E+12,2931,297,108,139,
1.67052E+12,2881,305,108,142,
1.67052E+12,2944,302,108,142,
1.67052E+12,2966,302,108,142,
1.67052E+12,2862,304,108,142,
1.67052E+12,2862,303,108,142,
1.67052E+12,2891,308,108,142,
1.67052E+12,2848,306,108,142,
1.67052E+12,2823,303,108,142,
1.67052E+12,2939,303,108,142,
1.67052E+12,2918,303,108,142,
1.67052E+12,2928,303,108,142,
1.67052E+12,2892,302,108,142,
1.67052E+12,2871,299,108,141,
1.67052E+12,2976,289,108,141,
1.67052E+12,2874,305,108,141,
1.67052E+12,2937,299,108,141,
1.67052E+12,2958,299,108,141,
1.67052E+12,2920,299,108,141,
1.67052E+12,2974,299,108,141,
1.67052E+12,2883,302,108,141,
1.67052E+12,2885,305,108,141,
1.67052E+12,2923,303,108,141,
1.67052E+12,2850,305,108,141,
1.67052E+12,2924,300,108,141,
1.67052E+12,2924,299,108,141,
1.67052E+12,2967,304,108,141,
1.67052E+12,3014,305,108,141,
1.67052E+12,2956,305,108,141,
1.67052E+12,2956,307,108,141,
1.67052E+12,2848,302,108,141,
1.67052E+12,2834,302,108,142,
1.67052E+12,2879,308,108,142,
1.67052E+12,2894,306,108,142,
1.67052E+12,2843,307,108,142,
1.67052E+12,2925,303,108,142,
1.67052E+12,2997,304,108,142,
1.67052E+12,2978,304,108,141,
1.67052E+12,2902,303,108,141,
1.67052E+12,2913,302,108,141,
1.67052E+12,2847,304,108,141,
1.67052E+12,2859,303,108,141,
1.67052E+12,2823,308,108,141,
1.67052E+12,2827,304,108,141,
1.67052E+12,2926,303,108,141,
1.67052E+12,2937,306,108,141,
1.67052E+12,2924,297,108,141,
1.67052E+12,2909,297,108,141,
1.67052E+12,2898,302,108,141,
1.67052E+12,2869,299,97,140,
1.67052E+12,2692,281,97,140,
1.67052E+12,2692,274,97,140,
1.67052E+12,2523,247,97,140,
1.67052E+12,2323,228,97,140,
1.67052E+12,1916,216,97,140,
1.67052E+12,1461,240,45,113,
1.67052E+12,2030,263,45,113,
1.67052E+12,2541,216,45,113,
1.67052E+12,296,687,45,113,
1.67052E+12,0,875,45,113,
1.67052E+12,182,688,45,113,
1.67052E+12,0,297,0,141,
1.67052E+12,0,0,0,141,
1.67052E+12,28,43,0,141,
1.67052E+12,5,4,0,141,
1.67052E+12,5,1,0,141,
1.67052E+12,5,0,0,141,
1.67052E+12,5,0,0,141,
1.67052E+12,5,0,0,141,
