time [s],Current, Voltage, Wire-feed
1669807032.0,0,0,1
1669807032.1,0,0,1
1669807032.1999998,158,345,1
1669807032.2999997,78,336,1
1669807032.3999996,105,335,1
1669807032.4999995,105,329,1
1669807032.5999994,100,320,1
1669807032.6999993,101,317,1
1669807032.7999992,101,309,1
1669807032.8999991,101,305,1
1669807032.999999,101,294,1
1669807033.099999,101,287,1
1669807033.1999989,101,279,1
1669807033.2999988,101,273,1
1669807033.3999987,101,265,1
1669807033.4999986,101,265,1
1669807033.5999985,101,252,1
1669807033.6999984,101,244,1
1669807033.7999983,101,234,1
1669807033.8999982,101,234,1
1669807033.999998,101,221,1
1669807034.099998,101,219,1
1669807034.199998,101,217,1
1669807034.2999978,101,217,1
1669807034.3999977,101,217,1
1669807034.4999976,103,218,1
1669807034.5999975,203,206,1
1669807034.6999974,975,149,1
1669807034.7999973,121,150,1
1669807034.8999972,809,129,1
1669807034.9999971,718,135,1
1669807035.099997,936,135,1
1669807035.199997,1221,135,1
1669807035.2999969,1132,133,1
1669807035.3999968,483,141,1
1669807035.4999967,93,153,1
1669807035.5999966,917,122,1
1669807035.6999965,1274,132,1
1669807035.7999964,800,140,1
1669807035.8999963,845,134,1
1669807035.9999962,184,155,1
1669807036.099996,14,142,1
1669807036.199996,662,128,1
1669807036.299996,946,127,1
1669807036.3999958,618,145,1
1669807036.4999957,258,151,1
1669807036.5999956,65,145,1
1669807036.6999955,124,142,1
1669807036.7999954,180,139,1
1669807036.8999953,804,129,1
1669807036.9999952,1113,144,1
1669807037.0999951,88,155,1
1669807037.199995,104,142,1
1669807037.299995,258,139,1
1669807037.3999949,118,149,1
1669807037.4999948,233,144,1
1669807037.5999947,904,132,1
1669807037.6999946,827,139,1
1669807037.7999945,13,152,1
1669807037.8999944,228,137,1
1669807037.9999943,531,136,1
1669807038.0999942,776,131,1
1669807038.199994,203,149,1
1669807038.299994,120,144,1
1669807038.399994,372,139,1
1669807038.4999938,850,131,1
1669807038.5999937,286,146,1
1669807038.6999936,111,146,1
1669807038.7999935,696,127,1
1669807038.8999934,645,137,1
1669807038.9999933,315,133,1
1669807039.0999932,638,128,1
1669807039.1999931,1012,139,1
1669807039.299993,1012,141,1
1669807039.399993,501,142,1
1669807039.4999928,710,139,1
1669807039.5999928,5,149,1
1669807039.6999927,507,128,1
1669807039.7999926,796,151,1
1669807039.8999925,151,157,1
1669807039.9999924,336,131,1
1669807040.0999923,1035,128,1
1669807040.1999922,230,152,1
1669807040.299992,34,139,1
1669807040.399992,476,133,1
1669807040.499992,586,138,1
1669807040.5999918,227,142,1
1669807040.6999917,231,141,1
1669807040.7999916,178,147,1
1669807040.8999915,275,140,1
1669807040.9999914,337,154,1
1669807041.0999913,404,134,1
1669807041.1999912,311,149,1
1669807041.2999911,176,143,1
1669807041.399991,259,145,1
1669807041.499991,669,126,1
1669807041.5999908,1383,140,1
1669807041.6999907,753,147,1
1669807041.7999907,87,141,1
1669807041.8999906,394,142,1
1669807041.9999905,763,136,1
1669807042.0999904,703,149,1
1669807042.1999903,160,145,1
1669807042.2999902,148,142,1
1669807042.39999,701,136,1
1669807042.49999,514,140,1
1669807042.59999,654,141,1
1669807042.6999898,482,143,1
1669807042.7999897,608,135,1
1669807042.8999896,850,137,1
1669807042.9999895,260,148,1
1669807043.0999894,502,136,1
1669807043.1999893,304,141,1
1669807043.2999892,469,134,1
1669807043.3999891,439,150,1
1669807043.499989,265,146,1
1669807043.599989,569,140,1
1669807043.6999888,530,140,1
1669807043.7999887,585,140,1
1669807043.8999887,486,146,1
1669807043.9999886,544,135,1
1669807044.0999885,618,138,1
1669807044.1999884,663,138,1
1669807044.2999883,698,139,1
1669807044.3999882,749,134,1
1669807044.499988,648,145,1
1669807044.599988,324,142,1
1669807044.699988,631,138,1
1669807044.7999878,138,149,1
1669807044.8999877,108,139,1
1669807044.9999876,984,135,1
1669807045.0999875,926,141,1
1669807045.1999874,151,153,1
1669807045.2999873,163,142,1
1669807045.3999872,526,140,1
1669807045.4999871,531,146,1
1669807045.599987,229,145,1
1669807045.699987,545,135,1
1669807045.7999868,830,143,1
1669807045.8999867,442,153,1
1669807045.9999866,194,136,1
1669807046.0999866,339,146,1
1669807046.1999865,584,133,1
1669807046.2999864,968,132,1
1669807046.3999863,151,148,1
1669807046.4999862,201,135,1
1669807046.599986,408,142,1
1669807046.699986,246,148,1
1669807046.799986,806,137,1
1669807046.8999858,397,152,1
1669807046.9999857,264,143,1
1669807047.0999856,464,137,1
1669807047.1999855,447,152,1
1669807047.2999854,290,149,1
1669807047.3999853,718,137,1
1669807047.4999852,733,148,1
1669807047.5999851,52,148,1
1669807047.699985,176,137,1
1669807047.799985,775,137,1
1669807047.8999848,608,148,1
1669807047.9999847,651,143,1
1669807048.0999846,565,148,1
1669807048.1999846,565,136,1
1669807048.2999845,652,143,1
1669807048.3999844,458,142,1
1669807048.4999843,872,140,1
1669807048.5999842,478,143,1
1669807048.699984,635,141,1
1669807048.799984,663,146,1
1669807048.899984,724,141,1
1669807048.9999838,471,151,1
1669807049.0999837,311,143,1
1669807049.1999836,429,153,1
1669807049.2999835,347,144,1
1669807049.3999834,558,141,1
1669807049.4999833,406,143,1
1669807049.5999832,695,146,1
1669807049.6999831,325,147,1
1669807049.799983,449,133,1
1669807049.899983,637,145,1
1669807049.9999828,467,141,1
1669807050.0999827,853,138,1
1669807050.1999826,741,148,1
1669807050.2999825,549,146,1
1669807050.3999825,351,145,1
1669807050.4999824,370,144,1
1669807050.5999823,863,140,1
1669807050.6999822,721,147,1
1669807050.799982,243,148,1
1669807050.899982,230,139,1
1669807050.9999819,658,142,1
1669807051.0999818,564,149,1
1669807051.1999817,584,137,1
1669807051.2999816,751,141,1
1669807051.3999815,442,154,1
1669807051.4999814,175,146,1
1669807051.5999813,794,135,1
1669807051.6999812,411,154,1
1669807051.799981,278,139,1
1669807051.899981,467,144,1
1669807051.999981,611,140,1
1669807052.0999808,698,138,1
1669807052.1999807,302,142,1
1669807052.2999806,452,140,1
1669807052.3999805,504,145,1
1669807052.4999804,552,143,1
1669807052.5999804,576,146,1
1669807052.6999803,482,151,1
1669807052.7999802,709,141,1
1669807052.89998,764,144,1
1669807052.99998,223,147,1
1669807053.0999799,366,137,1
1669807053.1999798,660,142,1
1669807053.2999797,683,146,1
1669807053.3999796,213,145,1
1669807053.4999795,370,137,1
1669807053.5999794,849,140,1
1669807053.6999793,731,147,1
1669807053.7999792,179,151,1
1669807053.899979,333,131,1
1669807053.999979,904,151,1
1669807054.099979,458,150,1
1669807054.1999788,244,144,1
1669807054.2999787,434,138,1
1669807054.3999786,762,138,1
1669807054.4999785,455,154,1
1669807054.5999784,199,147,1
1669807054.6999784,348,143,1
1669807054.7999783,664,137,1
1669807054.8999782,630,141,1
1669807054.999978,245,146,1
1669807055.099978,319,143,1
1669807055.1999779,654,149,1
1669807055.2999778,369,148,1
1669807055.3999777,789,141,1
1669807055.4999776,207,153,1
1669807055.5999775,665,126,1
1669807055.6999774,1039,137,1
1669807055.7999773,268,151,1
1669807055.8999772,245,150,1
1669807055.999977,391,145,1
1669807056.099977,282,144,1
1669807056.199977,511,131,1
1669807056.2999768,942,147,1
1669807056.3999767,102,150,1
1669807056.4999766,120,143,1
1669807056.5999765,416,146,1
1669807056.6999764,504,143,1
1669807056.7999763,353,152,1
1669807056.8999763,564,135,1
1669807056.9999762,605,154,1
1669807057.099976,364,158,1
1669807057.199976,125,132,1
1669807057.2999759,996,129,1
1669807057.3999758,415,162,1
1669807057.4999757,415,162,1
1669807057.5999756,357,150,1
1669807057.6999755,201,148,1
1669807057.7999754,903,141,1
1669807057.8999753,898,148,1
1669807057.9999752,72,146,1
1669807058.099975,258,136,1
1669807058.199975,256,150,1
1669807058.299975,187,132,1
1669807058.3999748,615,142,1
1669807058.4999747,384,153,1
1669807058.5999746,185,134,1
1669807058.6999745,771,127,1
1669807058.7999744,0,154,1
1669807058.8999743,0,139,1
1669807058.9999743,463,130,1
1669807059.0999742,974,140,1
1669807059.199974,161,156,1
1669807059.299974,0,146,1
