time [s],Current, Voltage, Wire-feed
1669806561.0,0,0,1
1669806561.1,0,0,1
1669806561.1999998,0,0,1
1669806561.2999997,0,0,1
1669806561.3999996,0,0,1
1669806561.4999995,0,0,1
1669806561.5999994,0,0,1
1669806561.6999993,0,0,1
1669806561.7999992,0,0,1
1669806561.8999991,0,0,1
1669806561.999999,0,0,1
1669806562.099999,0,0,1
1669806562.1999989,0,0,1
1669806562.2999988,0,0,1
1669806562.3999987,0,0,1
1669806562.4999986,0,0,1
1669806562.5999985,0,0,1
1669806562.6999984,0,0,1
1669806562.7999983,0,0,1
1669806562.8999982,0,0,1
1669806562.999998,0,0,1
1669806563.099998,0,0,1
1669806563.199998,0,0,1
1669806563.2999978,0,0,1
1669806563.3999977,0,0,1
1669806563.4999976,0,0,1
1669806563.5999975,0,0,1
1669806563.6999974,0,0,1
1669806563.7999973,0,0,1
1669806563.8999972,0,0,1
1669806563.9999971,0,0,1
1669806564.099997,0,0,1
1669806564.199997,0,0,1
1669806564.2999969,0,0,1
1669806564.3999968,567,144,1
1669806564.4999967,1143,181,1
1669806564.5999966,1344,128,1
1669806564.6999965,1444,149,1
1669806564.7999964,1031,155,1
1669806564.8999963,973,148,1
1669806564.9999962,965,138,1
1669806565.099996,1013,132,1
1669806565.199996,904,154,1
1669806565.299996,999,147,1
1669806565.3999958,1051,147,1
1669806565.4999957,882,153,1
1669806565.5999956,977,152,1
1669806565.6999955,815,155,1
1669806565.7999954,767,154,1
1669806565.8999953,734,152,1
1669806565.9999952,718,151,1
1669806566.0999951,382,161,1
1669806566.199995,181,143,1
1669806566.299995,1023,141,1
1669806566.3999949,405,167,1
1669806566.4999948,32,145,1
1669806566.5999947,163,142,1
1669806566.6999946,769,135,1
1669806566.7999945,1137,148,1
1669806566.8999944,100,165,1
1669806566.9999943,100,144,1
1669806567.0999942,205,144,1
1669806567.199994,656,150,1
1669806567.299994,109,151,1
1669806567.399994,898,135,1
1669806567.4999938,1004,144,1
1669806567.5999937,0,165,1
1669806567.6999936,313,142,1
1669806567.7999935,1242,144,1
1669806567.8999934,362,170,1
1669806567.9999933,0,159,1
1669806568.0999932,1011,164,1
1669806568.1999931,564,172,1
1669806568.299993,0,165,1
1669806568.399993,403,131,1
1669806568.4999928,1286,124,1
1669806568.5999928,1128,149,1
1669806568.6999927,562,143,1
1669806568.7999926,373,150,1
1669806568.8999925,95,149,1
1669806568.9999924,347,131,1
1669806569.0999923,571,152,1
1669806569.1999922,3,144,1
1669806569.299992,155,142,1
1669806569.399992,296,140,1
1669806569.499992,693,129,1
1669806569.5999918,1131,150,1
1669806569.6999917,102,156,1
1669806569.7999916,121,143,1
1669806569.8999915,266,140,1
1669806569.9999914,841,131,1
1669806570.0999913,337,155,1
1669806570.1999912,0,146,1
1669806570.2999911,126,141,1
1669806570.399991,484,141,1
1669806570.499991,163,158,1
1669806570.5999908,569,134,1
1669806570.6999907,700,167,1
1669806570.7999907,0,163,1
1669806570.8999906,252,153,1
1669806570.9999905,916,140,1
1669806571.0999904,1002,132,1
1669806571.1999903,1040,138,1
1669806571.2999902,187,160,1
1669806571.39999,178,147,1
1669806571.49999,314,146,1
1669806571.59999,182,149,1
1669806571.6999898,230,144,1
1669806571.7999897,225,145,1
1669806571.8999896,329,144,1
1669806571.9999895,1024,134,1
1669806572.0999894,1001,146,1
1669806572.1999893,297,162,1
1669806572.2999892,15,152,1
1669806572.3999891,224,147,1
1669806572.499989,177,146,1
1669806572.599989,254,139,1
1669806572.6999888,573,130,1
1669806572.7999887,795,155,1
1669806572.8999887,0,144,1
1669806572.9999886,92,137,1
1669806573.0999885,596,143,1
1669806573.1999884,74,145,1
1669806573.2999883,1135,130,1
1669806573.3999882,723,155,1
1669806573.499988,270,133,1
1669806573.599988,356,144,1
1669806573.699988,499,136,1
1669806573.7999878,590,158,1
1669806573.8999877,721,146,1
1669806573.9999876,27,163,1
1669806574.0999875,228,141,1
1669806574.1999874,592,136,1
1669806574.2999873,1052,153,1
1669806574.3999872,0,147,1
1669806574.4999871,735,141,1
1669806574.599987,87,156,1
1669806574.699987,360,137,1
1669806574.7999868,1040,160,1
1669806574.8999867,607,165,1
1669806574.9999866,0,153,1
1669806575.0999866,796,141,1
1669806575.1999865,730,156,1
1669806575.2999864,28,145,1
1669806575.3999863,1079,137,1
1669806575.4999862,651,175,1
1669806575.599986,0,163,1
1669806575.699986,584,138,1
1669806575.799986,1257,155,1
1669806575.8999858,0,156,1
1669806575.9999857,258,143,1
1669806576.0999856,227,145,1
1669806576.1999855,133,145,1
1669806576.2999854,988,137,1
1669806576.3999853,868,159,1
1669806576.4999852,0,152,1
1669806576.5999851,80,137,1
1669806576.699985,439,144,1
1669806576.799985,569,138,1
1669806576.8999848,130,156,1
1669806576.9999847,67,146,1
1669806577.0999846,171,145,1
1669806577.1999846,121,148,1
1669806577.2999845,244,141,1
1669806577.3999844,638,132,1
1669806577.4999843,558,153,1
1669806577.5999842,0,151,1
1669806577.699984,184,142,1
1669806577.799984,178,141,1
1669806577.899984,462,145,1
1669806577.9999838,108,150,1
1669806578.0999837,860,128,1
1669806578.1999836,871,153,1
1669806578.2999835,0,157,1
1669806578.3999834,0,145,1
1669806578.4999833,1027,127,1
1669806578.5999832,792,149,1
1669806578.6999831,102,139,1
1669806578.799983,434,148,1
1669806578.899983,926,140,1
1669806578.9999828,628,145,1
1669806579.0999827,642,140,1
1669806579.1999826,455,178,1
1669806579.2999825,227,157,1
1669806579.3999825,1578,135,1
1669806579.4999824,363,171,1
1669806579.5999823,0,138,1
1669806579.6999822,422,135,1
1669806579.799982,765,140,1
1669806579.899982,675,148,1
1669806579.9999819,40,148,1
1669806580.0999818,169,148,1
1669806580.1999817,163,147,1
1669806580.2999816,232,139,1
1669806580.3999815,985,155,1
1669806580.4999814,0,139,1
1669806580.5999813,371,132,1
1669806580.6999812,986,135,1
1669806580.799981,446,155,1
1669806580.899981,96,144,1
1669806580.999981,205,146,1
1669806581.0999808,136,143,1
1669806581.1999807,459,136,1
1669806581.2999806,522,146,1
1669806581.3999805,0,147,1
1669806581.4999804,63,142,1
1669806581.5999804,843,146,1
1669806581.6999803,95,167,1
1669806581.7999802,93,144,1
1669806581.89998,266,142,1
1669806581.99998,551,144,1
1669806582.0999799,354,153,1
1669806582.1999798,875,138,1
1669806582.2999797,957,165,1
1669806582.3999796,0,147,1
1669806582.4999795,1280,144,1
1669806582.5999794,533,177,1
1669806582.6999793,19,146,1
1669806582.7999792,726,127,1
1669806582.899979,1107,139,1
1669806582.999979,46,152,1
1669806583.099979,86,139,1
1669806583.1999788,218,144,1
1669806583.2999787,182,142,1
1669806583.3999786,1015,135,1
1669806583.4999785,648,143,1
1669806583.5999784,303,151,1
1669806583.6999784,84,146,1
1669806583.7999783,154,143,1
1669806583.8999782,207,139,1
1669806583.999978,752,127,1
1669806584.099978,521,156,1
1669806584.1999779,0,152,1
1669806584.2999778,181,142,1
1669806584.3999777,781,136,1
1669806584.4999776,538,156,1
1669806584.5999775,415,133,1
1669806584.6999774,918,158,1
1669806584.7999773,0,162,1
1669806584.8999772,840,129,1
1669806584.999977,1417,151,1
1669806585.099977,775,177,1
1669806585.199977,13,150,1
1669806585.2999768,566,135,1
1669806585.3999767,1073,152,1
1669806585.4999766,0,165,1
1669806585.5999765,208,153,1
1669806585.6999764,863,137,1
1669806585.7999763,941,156,1
1669806585.8999763,29,184,1
1669806585.9999762,0,175,1
1669806586.099976,150,174,1
1669806586.199976,74,177,1
1669806586.2999759,89,178,1
1669806586.3999758,1535,138,1
1669806586.4999757,1075,160,1
1669806586.5999756,0,156,1
1669806586.6999755,579,125,1
1669806586.7999754,298,154,1
1669806586.8999753,33,142,1
1669806586.9999752,176,141,1
1669806587.099975,138,143,1
1669806587.199975,330,133,1
1669806587.299975,856,127,1
1669806587.3999748,736,152,1
1669806587.4999747,0,140,1
1669806587.5999746,202,139,1
1669806587.6999745,632,126,1
1669806587.7999744,531,149,1
1669806587.8999743,0,150,1
1669806587.9999743,161,142,1
1669806588.0999742,303,141,1
1669806588.199974,471,145,1
1669806588.299974,112,149,1
1669806588.3999739,946,143,1
1669806588.4999738,205,169,1
1669806588.5999737,230,149,1
1669806588.6999736,919,141,1
1669806588.7999735,640,142,1
1669806588.8999734,1708,173,1
1669806588.9999733,0,179,1
1669806589.0999732,0,171,1
1669806589.199973,187,180,1
1669806589.299973,61,178,1
1669806589.399973,161,179,1
1669806589.4999728,370,164,1
1669806589.5999727,1391,136,1
1669806589.6999726,804,172,1
1669806589.7999725,0,155,1
1669806589.8999724,195,153,1
1669806589.9999723,93,143,1
1669806590.0999722,140,142,1
1669806590.1999722,137,144,1
1669806590.299972,248,139,1
1669806590.399972,453,134,1
1669806590.4999719,795,149,1
1669806590.5999718,0,149,1
