time [s],Current, Voltage, Wire-feed
1669890297.0,0,0,1
1669890297.1,0,0,1
1669890297.1999998,0,0,1
1669890297.2999997,0,0,1
1669890297.3999996,0,0,1
1669890297.4999995,1177,178,1
1669890297.5999994,1103,199,1
1669890297.6999993,1378,137,1
1669890297.7999992,2307,145,1
1669890297.8999991,1812,179,1
1669890297.999999,3044,184,1
1669890298.099999,2267,279,1
1669890298.1999989,2185,309,1
1669890298.2999988,2915,329,1
1669890298.3999987,3139,341,1
1669890298.4999986,3443,325,1
1669890298.5999985,3450,326,1
1669890298.6999984,3308,336,1
1669890298.7999983,3180,334,1
1669890298.8999982,3212,325,1
1669890298.999998,3577,305,1
1669890299.099998,3640,313,1
1669890299.199998,3295,332,1
1669890299.2999978,3223,326,1
1669890299.3999977,3154,325,1
1669890299.4999976,3259,310,1
1669890299.5999975,3662,278,1
1669890299.6999974,3540,317,1
1669890299.7999973,3051,343,1
1669890299.8999972,3116,317,1
1669890299.9999971,3160,313,1
1669890300.099997,3108,307,1
1669890300.199997,3214,303,1
1669890300.2999969,3197,309,1
1669890300.3999968,3053,308,1
1669890300.4999967,3062,286,1
1669890300.5999966,3086,285,1
1669890300.6999965,2987,287,1
1669890300.7999964,3224,271,1
1669890300.8999963,2712,301,1
1669890300.9999962,2791,288,1
1669890301.099996,2753,279,1
1669890301.199996,2660,287,1
1669890301.299996,2945,273,1
1669890301.3999958,3052,256,1
1669890301.4999957,2761,280,1
1669890301.5999956,2749,268,1
1669890301.6999955,2942,272,1
1669890301.7999954,2493,290,1
1669890301.8999953,2758,276,1
1669890301.9999952,2709,275,1
1669890302.0999951,2797,275,1
1669890302.199995,2792,273,1
1669890302.299995,2747,263,1
1669890302.3999949,2797,266,1
1669890302.4999948,2681,277,1
1669890302.5999947,2726,273,1
1669890302.6999946,2707,272,1
1669890302.7999945,2811,270,1
1669890302.8999944,2878,274,1
1669890302.9999943,2685,280,1
1669890303.0999942,2751,280,1
1669890303.199994,2696,278,1
1669890303.299994,3323,244,1
1669890303.399994,3222,260,1
1669890303.4999938,2460,301,1
1669890303.5999937,2578,294,1
1669890303.6999936,2696,274,1
1669890303.7999935,3337,239,1
1669890303.8999934,2481,301,1
1669890303.9999933,2455,300,1
1669890304.0999932,2766,277,1
1669890304.1999931,2829,263,1
1669890304.299993,3269,263,1
1669890304.399993,2455,293,1
1669890304.4999928,2867,266,1
1669890304.5999928,2766,274,1
1669890304.6999927,2900,261,1
1669890304.7999926,2974,264,1
1669890304.8999925,2581,292,1
1669890304.9999924,2578,282,1
1669890305.0999923,2849,273,1
1669890305.1999922,2767,275,1
1669890305.299992,2873,273,1
1669890305.399992,2715,285,1
1669890305.499992,2838,274,1
1669890305.5999918,2803,284,1
1669890305.6999917,2648,272,1
1669890305.7999916,2734,276,1
1669890305.8999915,2772,274,1
1669890305.9999914,2821,272,1
1669890306.0999913,2788,281,1
1669890306.1999912,2849,273,1
1669890306.2999911,2898,269,1
1669890306.399991,2869,276,1
1669890306.499991,2489,298,1
1669890306.5999908,2489,298,1
1669890306.6999907,2910,268,1
1669890306.7999907,2832,270,1
1669890306.8999906,2683,280,1
1669890306.9999905,2810,276,1
1669890307.0999904,3216,255,1
1669890307.1999903,3047,272,1
1669890307.2999902,2489,292,1
1669890307.39999,2631,281,1
1669890307.49999,2662,291,1
1669890307.59999,2829,262,1
1669890307.6999898,2841,286,1
1669890307.7999897,2456,289,1
1669890307.8999896,2860,266,1
1669890307.9999895,2647,292,1
1669890308.0999894,2945,266,1
1669890308.1999893,2882,281,1
1669890308.2999892,2738,284,1
1669890308.3999891,2715,282,1
1669890308.499989,2796,271,1
1669890308.599989,2880,264,1
1669890308.6999888,2785,271,1
1669890308.7999887,2883,268,1
1669890308.8999887,2695,285,1
1669890308.9999886,2729,284,1
1669890309.0999885,2766,281,1
1669890309.1999884,2806,266,1
1669890309.2999883,2703,276,1
1669890309.3999882,2695,278,1
1669890309.499988,2892,274,1
1669890309.599988,2806,282,1
1669890309.699988,2682,287,1
1669890309.7999878,2724,285,1
1669890309.8999877,2979,263,1
1669890309.9999876,2979,263,1
1669890310.0999875,2766,278,1
1669890310.1999874,2833,278,1
1669890310.2999873,2677,282,1
1669890310.3999872,2746,274,1
1669890310.4999871,2950,266,1
1669890310.599987,2724,284,1
1669890310.699987,3120,248,1
1669890310.7999868,3337,242,1
1669890310.8999867,2306,298,1
1669890310.9999866,2264,300,1
1669890311.0999866,2895,274,1
1669890311.1999865,2595,283,1
1669890311.2999864,2865,275,1
1669890311.3999863,2849,274,1
1669890311.4999862,2627,290,1
1669890311.599986,2904,264,1
1669890311.699986,2631,285,1
1669890311.799986,2620,286,1
1669890311.8999858,2830,276,1
1669890311.9999857,2744,279,1
1669890312.0999856,2803,270,1
1669890312.1999855,2834,279,1
